Row,countMat_enri1,countMat_enri2,countMat_enri3,countMat_enri4,countMat_enri5,countMat_enri6,countMat_enri7,countMat_enri8,countMat_enri9,countMat_enri10,countMat_enri11,countMat_enri12,countMat_enri13,countMat_enri14,countMat_enri15,countMat_enri16,countMat_enri17,countMat_enri18,countMat_enri19,countMat_enri20,countMat_enri21,countMat_enri22,countMat_enri23,countMat_enri24,countMat_enri25,countMat_enri26,countMat_enri27,countMat_enri28,countMat_enri29,countMat_enri30,countMat_enri31,countMat_enri32
"Pyrimidine metabolism",0.192307692307692,0.0769230769230769,0.153846153846154,0.192307692307692,0.0769230769230769,0.230769230769231,0,0.0769230769230769,0.192307692307692,0.115384615384615,0.307692307692308,0.0384615384615385,0,0.0769230769230769,1,0.192307692307692,0.230769230769231,0.269230769230769,0.153846153846154,0.192307692307692,0,0.115384615384615,0.115384615384615,0.0384615384615385,0.153846153846154,0.423076923076923,0.153846153846154,0.346153846153846,0.269230769230769,0.0769230769230769,0,0.153846153846154
"Pyruvate metabolism",0.466666666666667,0,0.0666666666666667,0,0.2,0.4,0,0.0666666666666667,0.0666666666666667,0,0,0,0.6,0.733333333333333,1,0,0,0.666666666666667,0.133333333333333,0,0.0666666666666667,0.0666666666666667,0,0,0,0.133333333333333,0,0.266666666666667,0.0666666666666667,0.0666666666666667,0,0
"ROS detoxification",0,0.166666666666667,0.166666666666667,0,0,0.5,0,0,0,0,0,0,0.166666666666667,0.666666666666667,1,0,0.166666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Retinol metabolism",0.0625,0,0,0,0,0,0,0.4375,0.1875,0,0,0,0,0.0625,1,0,0.125,0,0.4375,0.1875,0.5625,0.1875,0.0625,0,0,0.3125,0,0.5625,0.3125,0,0,0.125
"Riboflavin metabolism",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"Serotonin and melatonin biosynthesis",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sphingolipid metabolism",0.666666666666667,0.166666666666667,0.125,0,0.25,0.333333333333333,0.25,0,1,0,0.25,0.0416666666666667,0.375,0.5,0.5,0.375,0.416666666666667,0,0.125,0,0.458333333333333,0.5,0.583333333333333,0.0833333333333333,0.25,0.708333333333333,0.125,0.791666666666667,0.208333333333333,0.416666666666667,0,0.625
"Starch and sucrose metabolism",0,0,0,0,0,0.2,0,0,0.1,0,0,0,0.1,0.9,0.9,0,0,1,0,0,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0,0
"Steroid metabolism",1,0,0,0,0,0,0,0,0.0344827586206897,0,0.0344827586206897,0,0,0,0.241379310344828,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0.0344827586206897,0.0689655172413793,0,0
"Sulfur metabolism",0.285714285714286,0,0.142857142857143,0,0.285714285714286,0.285714285714286,0,0,0.142857142857143,0,0,0,0.428571428571429,0.428571428571429,1,0,0,0.285714285714286,0,0.142857142857143,0.285714285714286,0.142857142857143,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0
"Terpenoid backbone biosynthesis",0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,1,1,1,0,0,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",0.037037037037037,0,0,0,0.0740740740740741,0.185185185185185,0,0,0,0,0,0,0.925925925925926,1,1,0,0,0.518518518518518,0.037037037037037,0,0,0,0,0,0,0,0.037037037037037,0.333333333333333,0,0,0,0
"Tryptophan metabolism",0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrosine metabolism",0.2,0,0.1,0.1,0,0.2,0,0.1,0.2,0.2,0.5,0.1,0,0.4,0.8,0.2,0.9,0.5,0.2,0.4,0.4,0.1,0.5,0.5,0.5,0.3,0,1,0,0.8,0,0
"Ubiquinone synthesis",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Urea cycle",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valine, leucine, and isoleucine metabolism",0.230769230769231,0,0,0,0.0384615384615385,0.153846153846154,0,0,0.0384615384615385,0,0.0384615384615385,0,0.461538461538462,0.576923076923077,1,0,0.0384615384615385,0,0,0,0.153846153846154,0,0.0384615384615385,0.0384615384615385,0.0384615384615385,0.0384615384615385,0,0.346153846153846,0.0384615384615385,0.0384615384615385,0,0.0384615384615385
"Vitamin A metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"Vitamin B2 metabolism",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Vitamin B6 metabolism",0.2,0,0,0,0.4,1,0,0,0,0,0.2,0,0,0.2,0.6,0,0.2,0.2,0,0,0.2,0,0,0,0,0.2,0.2,0,0,0.2,0,0
"Vitamin D metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Xenobiotics metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.357894736842105,0,0,0,0,0,0,0.357894736842105,0,0,0,0
