Row,countMat_enri1,countMat_enri2,countMat_enri3,countMat_enri4,countMat_enri5,countMat_enri6,countMat_enri7,countMat_enri8,countMat_enri9,countMat_enri10,countMat_enri11,countMat_enri12,countMat_enri13,countMat_enri14,countMat_enri15,countMat_enri16,countMat_enri17,countMat_enri18,countMat_enri19,countMat_enri20,countMat_enri21,countMat_enri22,countMat_enri23,countMat_enri24,countMat_enri25,countMat_enri26,countMat_enri27,countMat_enri28,countMat_enri29,countMat_enri30,countMat_enri31,countMat_enri32
"Glucocorticoid biosynthesis",1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.375,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
"Glutathione metabolism",0,0,0,0,0.0909090909090909,0.454545454545455,0.181818181818182,0,0,0,0,0,0.272727272727273,0.272727272727273,1,0,0,0.363636363636364,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0.181818181818182,0,0
"Glycerolipid metabolism",1,0.2,0,0,0.2,0.4,0,0.2,0,0,0,0,0.4,0.6,0.8,0.2,0,0.2,0.4,0,0.2,0.2,0,0,0,0,0.4,0.4,0.2,0,0,0
"Glycerophospholipid metabolism",0.166666666666667,0,0.166666666666667,0.133333333333333,0.366666666666667,1,0.1,0.0333333333333333,0,0.0333333333333333,0,0.0666666666666667,0.533333333333333,0.5,0.5,0.166666666666667,0,0.233333333333333,0.0333333333333333,0.0333333333333333,0.1,0.133333333333333,0.0333333333333333,0,0,0.133333333333333,0.2,0.1,0.166666666666667,0.0666666666666667,0.0333333333333333,0
"Glycine, serine and threonine metabolism",0.19047619047619,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.30952380952381,0.333333333333333,0,0.0476190476190476,0,0.0476190476190476,0,0.0476190476190476,0.0952380952380952,0.30952380952381,1,0.0476190476190476,0,0.0952380952380952,0,0.119047619047619,0.261904761904762,0.142857142857143,0.0238095238095238,0,0,0.0238095238095238,0.0476190476190476,0.0476190476190476,0.261904761904762,0.214285714285714,0.0714285714285714,0
"Glycolysis / Gluconeogenesis",0.217391304347826,0.0434782608695652,0,0,0.391304347826087,0.91304347826087,0,0.130434782608696,0.130434782608696,0,0,0.173913043478261,0.478260869565217,0.956521739130435,0.304347826086957,0,0,1,0,0,0,0,0,0,0,0.173913043478261,0,0.173913043478261,0,0,0,0
"Glycosphingolipid biosynthesis-ganglio series",1,0.2,0,0.2,0.5,0.6,0,0.3,0.4,0.3,0,0,0.4,0.4,0,0,0,0.1,0,0.2,0,0,0,0.2,0.2,0,0,0.1,0,0.2,0,0.3
"Glycosphingolipid biosynthesis-globo series",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Glycosphingolipid biosynthesis-lacto and neolacto series",0,0,0,0,0,0,0,0,0.523809523809524,0,0,0,0,0.0952380952380952,0.0476190476190476,0.19047619047619,0.285714285714286,0,0,0,0.476190476190476,0.333333333333333,0.523809523809524,0.0476190476190476,0.19047619047619,0.619047619047619,0,1,0.285714285714286,0.714285714285714,0,0.666666666666667
"Glycosphingolipid metabolism",0.25,0.25,0.75,0,0.75,0.75,0,0,0.75,0,0.75,0,0,0,0.25,0,0.75,0,0.75,0,0.75,0,0,0,0,1,0.75,0.75,0.75,0.75,0,0
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.5,0,0,0
"Heme degradation",0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
"Heme synthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"Heparan sulfate degradation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"Histidine metabolism",0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0
"Inositol phosphate metabolism",0,0,0,0,0.235294117647059,1,0,0.0882352941176471,0,0.147058823529412,0,0.147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0.0882352941176471,0,0,0
"Isolated",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0,0.5,0.166666666666667,0.5,0.666666666666667,0.666666666666667,0.333333333333333,0,0,1,0,0,0.166666666666667,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0,0.333333333333333,0
"Keratan sulfate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.814814814814815,0,0
"Leukotriene metabolism",0,0,0.0103092783505155,0,0,0.0721649484536082,0,0,0.0103092783505155,0,0.0206185567010309,0,0.0103092783505155,0.0309278350515464,1,0.0412371134020619,0,0.0103092783505155,0,0,0.0103092783505155,0,0,0,0,0.175257731958763,0.0515463917525773,0.0309278350515464,0.0103092783505155,0,0,0.123711340206186
"Linoleate metabolism",0.133333333333333,0,0,0,0,0.0666666666666667,0,0,0,0,0.0666666666666667,0,0.133333333333333,0.0666666666666667,1,0.0666666666666667,0,0.133333333333333,0,0,0.2,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0,0.133333333333333,0.0666666666666667,0,0.0666666666666667
"Lipoic acid metabolism",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lysine metabolism",0.117647058823529,0,0,0,0.0588235294117647,0.176470588235294,0.0588235294117647,0.117647058823529,0.117647058823529,0,0.117647058823529,0.117647058823529,0.470588235294118,0.176470588235294,1,0.117647058823529,0.0588235294117647,0.176470588235294,0.0588235294117647,0.0588235294117647,0.470588235294118,0.176470588235294,0,0.0588235294117647,0.0588235294117647,0.470588235294118,0,0.588235294117647,0.117647058823529,0,0,0.117647058823529
"Metabolism of other amino acids",0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Miscellaneous",0.454545454545455,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0.272727272727273,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.181818181818182,1,0.363636363636364,0.545454545454545,0.272727272727273,0.272727272727273,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.363636363636364,0.272727272727273,0.272727272727273,0.545454545454545,0.545454545454545,0.0909090909090909,0,0.181818181818182
"N-glycan metabolism",0,0,0,0,0,0.428571428571429,0,0,0.0476190476190476,0,0,0,0,0,0.571428571428571,0,0,0,0,0,1,0.142857142857143,0,0,0,0.0476190476190476,0.0476190476190476,0.142857142857143,0.142857142857143,0.19047619047619,0,0
"Nicotinate and nicotinamide metabolism",0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0,0.222222222222222,0,0,0,0,0,0,0.555555555555556,0.333333333333333,1,0,0.111111111111111,0.555555555555556,0.111111111111111,0.111111111111111,0.333333333333333,0,0,0,0,0.222222222222222,0.444444444444444,0.111111111111111,0,0,0,0
