Row,deltaFPmat1,deltaFPmat2,deltaFPmat3,deltaFPmat4,deltaFPmat5,deltaFPmat6,deltaFPmat7,deltaFPmat8,deltaFPmat9,deltaFPmat10,deltaFPmat11,deltaFPmat12,deltaFPmat13,deltaFPmat14,deltaFPmat15,deltaFPmat16,deltaFPmat17,deltaFPmat18,deltaFPmat19,deltaFPmat20,deltaFPmat21,deltaFPmat22,deltaFPmat23
"cerotic acid-Adrenal Gland",0.607709374103868,0.268577410134264,0.607709373931911,0.607709373908508,0.607709179181697,0.607523581461846,0.501389058185578,0.102261909880245,0.209790873359038,0.187531092667222,0.188480471534568,0.23213160936942,0.256059016968596,0.317088563750952,0.311423207939509,0.190603789357674,0.19057814745058,0.171136367602573,0.208486485811678,0.211174185598367,0.211682741601755,0.212570057310728,0.157627400430834
"isocitrate-Adrenal Gland",0.132234167764978,0.108640012465716,0.132234167764978,0.132234167764978,0.132234167764978,0.132234167830683,0.132234170565037,0.132234086790596,0.132211251156536,0.118758394899742,0.118655830736712,0.119103482068827,0.120746176065423,0.12075116431643,0.120747910650518,0.120748748028802,0.120748728285178,0.121559974048904,0.121660333399808,0.121663916409898,0.121662787890074,0.121662433251439,0.121664853831914
"L-metanephrine-Adrenal Gland",0.161877659084956,0.433673625293038,0.161877745321618,0.161916105860217,0.183662890053444,0.47581587875498,0.480289746506026,0.480299364046481,0.480294327169572,0.480461861048833,0.48028647187847,0.472784840168191,0.304550184187095,0.300430510809767,0.300426288459627,0.300426284161826,0.300426294802062,0.300426380697319,0.300434951569815,0.30042628429457,0.300426548291854,0.300427526049332,0.300426675726105
"N-acetylneuraminate-Adrenal Gland",0.86504308776434,0.644981749010911,0.865035909636629,0.861579947102967,0.785456049716008,0.804003072518112,0.806844441964388,0.795243817321829,0.721478115777504,0.595506722341658,0.615219224705238,0.675126952620786,0.595506045067718,0.595506045067717,0.595506044925394,0.595505853152441,0.595507294375457,0.595513536921341,0.595504080650912,0.58902226180688,0.524762079510962,0.524751519899886,0.524691913698784
"NAD+-Adrenal Gland",0.993833929515795,1.00216127405994,1.00000000102131,1.00000001599937,1.00000002947572,1.0000316293994,1.00000003161514,1.00000099979476,1.0000024041002,1.00000014189444,1.00000662989446,1.000001000001,1.00003161944917,1.00000562459999,1.00003162376636,1.00009951626309,1.0000056221288,1.00003146281337,1.00000560960817,1.00003162610105,1.00002998825651,1.00003385678552,1.00003180014464
"normetanephrine-Adrenal Gland",0.161877659084956,0.502485868244201,0.161877866615985,0.161868754115372,0.159180467367471,0.159152021634237,0.159217496908504,0.202217572666935,0.570757482696221,0.574938468526608,0.576930732414251,0.576934985194776,0.57693498944762,0.576934989451873,0.57693499012687,0.576935566182084,0.576934998792226,0.578941123211307,0.582619317719098,0.585817004910392,0.589011378362072,0.593269495912388,0.593488450403439
"pregnenolone-Adrenal Gland",0.995890916294426,1.00058127932894,1,1.00000003162278,1.00000002947572,1.00000031023666,1.00000003161514,1.00000014928423,1.0000024041002,1,1.00000662989446,1.00000022414338,1.00000047005548,1.00000035424869,1.0000316293994,1.00000000014258,1.00000132064272,1.00000039201206,1.00000066892048,1.00000154676825,1.00002998825651,1.00002737106384,1.00000177490311
"prostaglandin F2alpha-Adrenal Gland",0.0446645988667954,0.0517428634992489,0.0446645989079273,0.044664626132176,0.0446645921529735,0.0446655615710812,0.0457195317098338,0.0695767283058927,0.059908848017695,0.0598488620790205,0.0598487968765852,0.0598486140782699,0.0596658776629401,0.0379164731814204,0.047372672172989,0.0474272546843006,0.047393190671735,0.0405093943783106,0.0397511231584005,0.0356191767496509,0.0347941548549555,0.0303272465978557,0.0302893424396061
"tyramine-Adrenal Gland",0.11254648410645,0.246831954292995,0.999999987670488,0.999993651315345,0.993884769373547,0.267780538995257,0.250093889443511,0.250095429698609,0.250095431238905,0.250095431240445,0.250095431240447,0.250095431240447,0.250095431240447,0.250095431240462,0.250095431250322,0.25009543845788,0.250102647026908,0.255951434760002,0.263920716142736,0.248287841714071,0.250153394387482,0.339358389366912,0.37222007398457
"vanillylmandelate-Adrenal Gland",0.161877659084956,0.0974604131290357,0.161872220431429,0.161887783694848,0.146202153948603,0.157730560795404,0.120864708094062,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0980451586882469,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488,0.0974634790994488
"GD3-Adrenal Gland",0.390258429015473,0.624110583852502,0.999699924614231,0.941573567315837,0.815277117612364,0.792276746413713,0.699730331278231,0.630373544234966,0.630373552466835,0.630373503939139,0.664783430555436,0.622796886694045,0.622795248167053,0.6227945492953,0.622834296726364,0.641406109685992,0.65822181648676,0.658904053833148,0.675737087869273,0.623396925967033,0.592109479058363,0.592105111855118,0.59212354627881
"GM3-Adrenal Gland",0.86504308776434,0.673380650835623,0.865001576755542,0.847752306414183,0.76268855868649,0.762182485309136,0.762165856259319,0.757268353096268,0.760408844726307,0.678455859138405,0.615747779898365,0.615747446060318,0.615747484236352,0.615727971802553,0.615747438504397,0.615750899383865,0.615727593711564,0.615747796861816,0.615747429599649,0.615762788165151,0.615754371426624,0.615754690655395,0.615746926357233
"LacCer pool-Adrenal Gland",0.86504308776434,0.846775879069189,0.865001576755542,0.861404001828586,0.846588084076583,0.846588084076583,0.846588084076583,0.846588084076583,0.84658808407665,0.846588118727352,0.846588084076583,0.846588084156911,0.846588084930503,0.846588127640169,0.846589024315936,0.846587969225754,0.846591178231097,0.846589978834964,0.846588374041837,0.846591509809004,0.846596959811476,0.846588494300524,0.84659788381877
"homocysteine-Artery",0.200523187739918,0.0903772454759337,0.200523180496189,0.200521099838828,0.198503202360754,0.119062763574344,0.0992762152050491,0.0988754203383103,0.0988731327931524,0.0985406160481076,0.0714303752714783,0.0714303752525727,0.0714303752714784,0.0714303752714783,0.0714304466891192,0.0714303761811432,0.071429315670862,0.0714303663261314,0.0714240113095935,0.071430336236451,0.0714303732909754,0.0714303844252406,0.0714173943100954
"prostaglandin E1-Artery",0.772452983111317,0.403553543319819,0.773129913717125,0.773127110472757,0.773127135047415,0.771946623863915,0.630048154688547,0.576831987043366,0.531921168774896,0.53181416297669,0.523935968732367,0.349131191920613,0.344950914664741,0.279706789802789,0.107115940086679,0.107115940086679,0.107115940086679,0.107115940086679,0.107115940086679,0.107115940086679,0.107115940086679,0.107115940086679,0.107115940086679
"N-methylhistamine-Brain",0.0239221901261488,0.023930666421186,0.0239221901261488,0.0239221901261487,0.0239221901261489,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221901261488,0.0239221902220292
"26-hydroxycholesterol-Brain",0.00135565010804933,0.244088586200517,0.998959132261775,0.670918319846042,0.11111532287774,0.152862500637403,0.200983899626668,0.232825814243548,0.262002202826982,0.266954147178413,0.266959762839417,0.266960213258361,0.266959907292637,0.26695995624719,0.266959954778579,0.266959946310685,0.266959837024424,0.266959946360514,0.266959885765199,0.266959928448067,0.266960612083846,0.266955759853526,0.266959943651828
"3,4-dihydroxyphenylacetate-Brain",0,0.786030473718053,0.999462504829033,0.834288871750213,0.570704780152938,0.653158461333356,0.664748080939307,0.664761274939185,0.664761288135012,0.664761288148207,0.66476128814822,0.664761288148221,0.664761288148221,0.66476128814822,0.664761227770845,0.664761288148221,0.664761288148221,0.664761288266434,0.664761288148256,0.664761287122513,0.664760322017224,0.664761272365987,0.664761288266434
"3,4-dihydroxyphenylethyleneglycol-Brain",0,-1.55603957707751e-05,-0.00486618943720185,-0.0682940458184212,-0.101051031798159,-0.100598658093837,-0.100598787655855,-0.0980916035186487,-0.096283467016327,-0.0920250168509248,-0.0822402326305828,-0.0822195505508628,-0.0822195298541904,-0.0822195298334937,-0.0822195298334937,-0.082219529833473,-0.082219529833473,-0.0822195298043442,-0.0822195298480939,-0.082219529833473,-0.0822100914421409,-0.082219529833473,-0.082219529833473
"5-hydroxy-L-tryptophan-Brain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provitamin D3-Brain",0.241644141718367,0.257651044351813,0.24178595730038,0.262599157393007,0.261945390421433,0.265431867046321,0.254299402015877,0.265431867039716,0.25429940201586,0.254202247042015,0.254202149260194,0.254202164072572,0.254202154338056,0.254203619933141,0.254202419780596,0.254203316893501,0.254210040490264,0.254216791903951,0.254223506221519,0.254206173469254,0.254204126175625,0.254203681733494,0.254211099248588
"acetoacetate-Brain",0.583809912667465,0.422833407589326,0.584074827652688,0.555315656090548,0.534142390631224,0.534110573533733,0.534126443101256,0.534110144190361,0.533711741259389,0.446609678176989,0.52971224556301,0.465259338752171,0.373437461331266,0.330544507157876,0.336158310914523,0.336561108789835,0.336564282007377,0.336559520677372,0.336563352098294,0.336563978302808,0.336566018565192,0.336563456246663,0.336581600471269
"acetyl-CoA-Brain",0.624944743589204,0.800740517619304,0.99999973010152,0.999928367610007,0.961029966761105,0.804017632897723,0.703694968838434,0.70086005066197,0.700857139257764,0.700857259648101,0.70087672034646,0.7133312708682,0.999999984015096,0.999986253153868,0.99999978281622,0.99999812584648,1.00000099917462,0.999999978802129,0.999998338810653,0.999997640586377,1.00000003567285,0.999999771699229,1.00000825119838
"PAP-Brain",0.769121666146593,0.622904086003287,0.768767038346666,0.689452516828132,0.624973425766115,0.624856550075637,0.624856433104971,0.624856432988001,0.624856432987884,0.624856432987883,0.624856432987883,0.624856432976832,0.624805591812422,0.624852727125029,0.621284214557941,0.528708315852152,0.513878511968059,0.396453413489352,0.29370440143959,0.414228168988971,0.444336723011482,0.444336846891628,0.444349653582508
"agmatine-Brain",0,0.0857854110044971,0.951465911422827,0.104801318832507,0.059210646244761,0.0617272102578586,0.0858009020021428,0.0894512871641642,0.0899603418352253,0.0899609351539143,0.0899609947823488,0.0899609182874825,0.0899604543040901,0.0899609523531128,0.0899610975239692,0.0899607768859028,0.0899606986896803,0.0899580891104807,0.0899546661818209,0.0899608332340363,0.0899601164610293,0.0899576691497415,0.0899607485240361
"linolenate-Brain",0.894327993836565,0.251362068761039,0.894327993836565,0.894327993230548,0.89433108130199,0.894284523585193,0.85306011390022,0.763079402148763,0.533238165351737,0.189433812803571,0.263231594529186,0.260058849607536,0.303786084700968,0.271818517499028,0.252612580384457,0.237263836651891,0.210940845276131,0.207887731483809,0.207285136972174,0.207135165460201,0.230921393326075,0.238418281567679,0.240329820323389
"alpha-tocopherol-Brain",0.0538028357696907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arachidonate-Brain",0.894327993836565,0.841997864921581,0.894327993836565,0.894327993836565,0.894327990852137,0.894324340801709,0.894327972580528,0.894310787574531,0.880271014207258,0.802294746344275,0.796770445741493,0.796765364807688,0.796768938977627,0.796685688701565,0.794851438249313,0.808658058309583,0.808758582645462,0.816003428028674,0.82195639746253,0.821981266587362,0.758905262205882,0.745235870475849,0.773766874956403
"butyrate-Brain",0.0980537520587887,0.0462100042020218,0.117209753786069,0.117209753800352,0.117209757846667,0.117209757599031,0.117213457970795,0.120810948376685,0.258450592847078,0.197300243526626,0.0445976673790152,0.00966985256797481,0.00959943381377781,0.00960029222206876,0.00960094410014944,0.00958650159612928,0.00959870778069416,0.00960069310293143,0.00960204785206742,0.00960468301279266,0.00959913483340546,0.00959961331373294,0.00959987122501493
"carnosine-Brain",0.92567695229761,0.823553541378211,0.925676814494983,0.925608127716185,0.892489055957579,0.861635481789431,0.861635485238838,0.859816289613729,0.807486847375866,0.805887061029979,0.805885257343323,0.805885607140401,0.805885255694362,0.805885255965534,0.80588553717767,0.805885391688722,0.805885255716054,0.805895386279601,0.805885036506133,0.805886431919411,0.805885707770838,0.805885250059423,0.805888373824766
"delta1-piperideine-2-carboxylate-Brain",0,7.38703149569808e-05,0,0,2.22044604925031e-16,0,0,0,2.8244073746464e-13,0,0,0,0,0,2.22044604925031e-16,1.71916259006366e-10,1.44024125958708e-10,7.83546227900445e-08,1.38807697331877e-05,4.85684525508567e-06,5.7286513559518e-06,8.24326656267971e-07,8.32488457391811e-07
"galactose-Brain",0.929398473558161,0.858072088614148,0.929398473487304,0.929398473188801,0.92939810456942,0.929031691156665,0.876839025046522,0.868119039263885,0.868108870883382,0.868108827511636,0.868108863500326,0.868108860676742,0.868108847170647,0.868092315370735,0.851963096066007,0.565825777805905,0.387303053949726,0.380722367485888,0.381506462290529,0.381519940043919,0.385762275151127,0.389205793739395,0.389679663682907
"dehydroascorbic acid-Brain",0.942118223123762,0.936660468551398,0.942118466294277,0.942118391422666,0.942118223123762,0.942118223123762,0.942118223123762,0.942118223105162,0.942118395611507,0.942123343428535,0.942108527733555,0.933956416524562,0.89084304769113,0.890570756683548,0.890570482945108,0.890570482671567,0.890570482740869,0.890570348571087,0.89058224648712,0.89039734667484,0.763300839927944,0.602043438307675,0.602046360860562
"desmosterol-Brain",0,0.00988203731481851,0.000934957918837548,0.0456701414047482,0.0209975803094724,0.0539081322143274,0.00930742045487665,0.0144350756348074,0.0111803842639653,0.0072633594217186,0.00597375266730585,0.00847395519277094,0.00627027157088289,0.00731528271759488,0.00731528271770968,0.00731528271770981,0.00731528271770981,0.00731528271770981,0.00731528271770979,0.00731587434051953,0.00731528462891443,0.00731528412239615,0.0118255767126968
"DHA-Brain",0.894327993836565,0.453221155988932,0.894327993836565,0.894327992913129,0.894328005305873,0.894327794923578,0.894325008941068,0.891440432018861,0.811231321679366,0.808857141579996,0.808836778748838,0.791250710884205,0.611935717531623,0.611935344242355,0.611830462679543,0.569050331821274,0.533703384223475,0.295938499165362,0.295939499953594,0.295937930647237,0.295956462802103,0.301872278199195,0.287658253252823
"adrenaline-Brain",0.132549827292858,0.0393783242686432,0.132496405239811,0.108621424868357,0.000118924469182491,0.0194600265798577,0.0309863642526985,0.0404563357950812,0.0420597055415632,0.0420618329635813,0.0420611748533545,0.0420663845793423,0.0460806273207909,0.0510533520880363,0.0510646020371681,0.0510630944930335,0.0510603945941979,0.0510648518039303,0.0510652811149494,0.0510637107050376,0.0510656269157844,0.0510668579638258,0.0510651408122403
"farnesyl-PP-Brain",0.421207913918778,0.316275436307372,0.42120791500244,0.421049303787041,0.455034892200821,0.426360528745942,0.397185187553597,0.468635640342175,0.398698890061333,0.438840171827659,0.313159047274327,0.34001705849122,0.278366905418289,0.278364594636948,0.278363334397474,0.278399499439279,0.278337929628491,0.278365675319764,0.278365826543517,0.278289133995174,0.278314196455461,0.278363554635463,0.278380147686945
"folate-Brain",0,0.211844324938532,0.999999999665374,1.00000003193214,0.999999989418189,0.999989139799133,0.989847281610564,0.27124945399294,0.172685991898297,0.172697419328936,0.183330938577355,0.238106319713922,0.238438329941484,0.237860123907728,0.22138058590435,0.224070572576774,0.27429246703668,0.265203693716781,0.256731034144452,0.256673952707696,0.241228270803106,0.227125054837698,0.221198384740204
"galactitol-Brain",0.041788033771516,0.117429246992126,0.041862762384659,0.102810912417442,0.07552283090087,0.0757219091646915,0.110003028881046,0.125820759640902,0.126381802067713,0.126383786444612,0.12638385534212,0.126383852639641,0.126384230160165,0.126385103486709,0.126383914797149,0.1264908772556,0.127321757891859,0.127832749044954,0.127832626943491,0.127845221625009,0.127845127873966,0.127836186025927,0.12783665082115
