Row,Adrenal Gland,Artery,Brain,Colon,skin,Liver,Heart,Intestine,Lung,Muscle,Ovary,Pancreas,Prostate,Testis,Spleen,Thyroid Gland,Uterus
"(+)-alpha-pinene",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"(-)-trans-carveol",0,0,0,0,0.0198399350621061,1,0,0,0,0,0,0,0,0,0,0,0
"(10Z)-heptadecenoic acid",0.268577410134264,0.294832280356657,0.251362068761039,0.0534697976454148,0.100615511225611,0.538540560459256,0.769034013738127,0.206570977830416,0.0645376681463439,0.46828985592097,-1.38381646509478e-05,0.0974542939090583,0.0228537747055839,0.00540124709870188,0.0580055239600403,0.00552941917171548,1.53474403787879e-05
"(10Z)-heptadecenoyl-CoA",0.482052659397473,0.427405132554026,0.338786750907202,0.389544348195475,0.0156995174342583,0.787060327696889,0.693172389717462,0.351035525354593,0.242890949325821,0.467223728122832,0.000917556906812131,0.0957247792806219,0.0448599052734237,0.0140107142046969,0.358383931007701,0.0655349195036847,0.00104892825045653
"(11R)-HPETE",0.000856324610694223,0.0339669278574446,1.46460414235244e-05,0.0292732831099278,0.120277526200413,0.10551411131389,0.0235683673797452,0.0470403953279903,0.000840493044632656,0.157332886021474,0,0,6.91146341925963e-06,8.2121258235951e-06,0.572796511246551,0,2.22044604925031e-16
"(11Z)-docosenoyl-CoA",0.482052659397473,0.427405132554026,0.338739233243986,0.389544348195475,0.0404571037811984,0.787060327696889,0.710902652082095,0.351030477330105,0.242890949325821,0.462531457689873,0,0.0957204817814583,0.0448599052734237,0.0602389168805867,0.358383931007701,0.0655349195036847,0.00104219699254307
"(11Z)-eicosenoyl-CoA",0.482052659397473,0.427405132554026,0.344629453412048,0.389544348195475,0.0346968420021616,0.787060327696889,0.622874539198262,0.357410605681465,0.242890949325821,0.462531457689873,0.00190448880972885,0.0970030588611501,0.0448599052734237,0.0863215214276137,0.358383931007701,0.0655349195036847,0
"(11Z,14Z)-eicosadienoic acid",0.268577410134264,0.294836543628514,0.251362068761039,0.195369013705955,0.100640733005061,0.75110057495182,0.769076242490522,0.556766802153088,0.162360480935384,0.468373822889814,-1.38381646509478e-05,0.0974522534773209,0.0228537747055839,0.00625474670377224,0.0579902987606649,0.00552726167715744,1.53474403787879e-05
"(11Z,14Z)-eicosadienoyl-CoA",0.482052659397473,0.427405132554026,0.240029063094167,0.389544348195475,0.0372091657939313,0.787060327696889,0.702568422839574,0.397102236078913,0.242890949325821,0.462531457689873,0.00038769932262829,0.114207009002521,0.0448599052734237,0.111032249901568,0.358383931007701,0.0655349195036847,0.000419919270334111
"(11Z,14Z,17Z)-eicosatrienoic acid",0.268577410134264,0.294722197801809,0.251362068761039,0.107292005166965,0.100645132379778,0.538416619799442,0.768601558129099,0.238042336760916,0.0998306168038186,0.468307613910879,-1.38381646509478e-05,0.0974878782789562,0.0228537747055839,0.00532363082273535,0.0580044003817778,0.00551355887158188,1.53474403787879e-05
"(11Z,14Z,17Z)-eicosatrienoyl-CoA",0.482052659397473,0.427405132554026,0.340108009101687,0.389544348195475,0.0417985323277834,0.787060327696889,0.714268276793753,0.35256390823158,0.242890949325821,0.462531457689873,0.000708774820462865,0.0957297342599005,0.0448599052734237,0.0673842725859091,0.358383931007701,0.0655349195036847,0.00149342290812278
"(11Z,14Z,17Z)-eicosatrienoylcarnitine",0.0462177714185111,0.0010970475304829,0.0354984113762565,0.0425263269326614,0.000771583854378226,0.384509729069974,0.746923714450036,0.0305426555857445,0.0097006966697185,0.510904955552339,0.000405253312603951,0.0480200619099042,0.00106944867468907,0.011010625802013,-4.42387437454535e-05,-0.001812908888356,0.000374481480806738
"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",0.0219386322654005,0.0860140967232945,0.10720329283106,0.0292732831099278,0.013434023701912,0.676634323533516,0.0485758738702218,0.0899063304313843,0.0255465091240226,-0.00223593615067927,-0.0271717749645403,0.000750121145813409,0.0163806806432886,-0.00676197286137144,-0.0116314982377863,0.0436738337056581,0.00176489877894159
"(13E)-tetranor-16-carboxy-LTE4",0.00553206767178246,0.00361915761041623,0.00229460373783187,0.0292732831099278,0.0108621763260739,0.629657685461703,0.0649613935206105,0.0470403953279903,0.00193197004051711,0,0,0,4.82966199209928e-05,0.00646584426923898,0,0,0
"(13E)-tetranor-16-oxo-16-CoA-LTE4",0.048220730720265,0.000539539084367106,0.738101614716971,0.156126010008292,0.00115773911879326,0.64097443916628,0.735259953946887,0.0407952882007276,0.00209292660652984,0.381263075245425,-0.0125717135347477,-0.000187474489279523,0.000235055173606336,0.0312475019275241,-0.00166060743988121,-0.000335172797437569,-0.00887339817412747
"(13Z)-docosenoyl-CoA",0.482052659397473,0.427405132554026,0.334028487052409,0.389544348195475,0.0340980833181072,0.787060327696889,0.622874539198262,0.346440905495233,0.242890949325821,0.462531457689873,0.00180647311900472,0.0970053889033126,0.0448599052734237,0.0892226425386259,0.358383931007701,0.0655349195036847,0.00217598233590346
"(13Z)-eicosenoic acid",0.268577410134264,0.294782315741145,0.251362068761039,0.0945788921609432,0.100632230604516,0.538506338755424,0.768714626003504,0.213938163921866,0.0892333062190414,0.468382859305979,-1.38381646509478e-05,0.0974972548105092,0.0228537747055839,0.00626225482433745,0.0579960798202614,0.00552503147968272,1.53474403787879e-05
