"#F05C3BFF"
"#D5E4A2FF"
"#71D0F5FF"
"#FED439FF"
"#FD8CC1FF"
"#FD8D3CFF"
"#709AE1FF"
"#D2AF81FF"
"#197EC0FF"
"#46732EFF"
"#370335FF"
"#075149FF"
"#C80813FF"
"#91331FFF"
"#CA8F42"
"#B06660"
"#1A9993FF"
"#C0C0C0"

