Row,r_0039,r_0040,r_0042,r_0065,r_0079,r_0115,r_0118,r_0151,r_0152,r_0153,r_0195,r_0207,r_0208,r_0214,r_0225,r_0279,r_0468,r_0489,r_0536,r_0538,r_0563,r_0564,r_0570,r_0718,r_0727,r_0759,r_0816,r_0818,r_0821,r_0855,r_0886,r_0908,r_0909,r_0910,r_0911,r_0912,r_0914,r_0915,r_0958,r_0959,r_0962,r_0996,r_0997,r_1022,r_1051,r_1054
r_0005,0.317541250326843,0.317565310258014,0.221207943087215,0.317214764621172,0.140171316513556,0.216939322362993,0.289645582439409,0.102195968083154,0.198414227654682,0.418218095517843,0.144763357959757,0.46919009869031,0.390166983587149,0.279042026288441,0.284029532366137,0.244711593905066,0.223783589150612,0.215801679286266,0.374692515324771,0.257092821456172,0.305823166857159,0.324797789263017,0.0256461162980166,0.431200443415557,0.173022449595008,0.217172020659518,0.296991461098708,0.417901737013951,0.0905484148392429,0.153578226622965,0.232896978587025,0.0689134512486683,0.374767559618284,0.375249844149161,0.0300115820208093,0.0259382293693057,0.15503129767781,0.177807062955465,0.313873411797794,0.0827899504544395,0.199514916228455,0.318060936041788,0.320138168349681,0.097417142921373,0.144329128735366,0.221520956940174
r_0007,0.779474766451822,0.779540362294688,0.710002131944847,0.779565574854689,0.301606422795683,0.613623157792817,0.653216714075312,0.284487009976266,0.473440496511942,0.66429265420192,0.293905750406053,0.572119127277877,0.696051352098811,0.0209984144857116,0.700509982780411,0.76403076428816,0.350163699957307,0.310011598535509,0.826505735611595,0.737806904412601,0.825517377831309,0.612948227892434,0.312159872902746,0.746459767683295,0.367633482099542,0.612135940678024,0.679458533693827,0.683090416296489,0.00471530020933471,0.262759039254473,0.0740898776262986,0.309265322061802,0.825850430463777,0.826696681767009,0.146560211521335,0.314620976217893,0.260925638459033,0.431999624857795,-0.0149585216404326,0.0273313745302938,0.0323527265373684,0.779809797189171,0.780163322242509,0.0410458006193348,0.290972025791368,0.0192784919847405
r_0016,0.315231601186373,0.315373238119526,0.104813429142994,0.315007823960983,0.450259095122421,0.033341722497815,0.0781186244102404,0.511549844239957,0.473913605458507,0.499761794869669,0.341941809392663,0.0185367112759876,0.113250494172286,0.0162836366624158,0.219854869539893,0.252149353029174,0.664488794581252,0.0124259780217987,0.184812198347674,0.0992909880492014,0.174653594021197,0.164998785898565,0.310272835266754,0.264676023598845,0.560692713025546,0.0329380990401451,0.129849244966416,0.0659609103200132,0.0423816948716866,0.553455399046996,-0.00680833599019427,0.452529979004996,0.183214098976937,0.184064919247837,0.264714203449629,0.309781965341193,0.554685744431609,0.528215952357307,-0.0582215547712085,0.031656575204596,-0.0051692225602479,0.314943148511702,0.315342580882252,0.0309181895996127,0.339613295239126,-0.0202672269506666
r_0018,0.205285646395341,0.205436824567757,0.00194279723198353,0.205167646142456,0.368092498677726,-0.017209983083343,0.013504098840081,0.452580763347828,0.375288724537529,0.372836309819734,0.30463503855807,-0.0224089534242688,0.035950195412305,0.0196755868959707,0.112578948524703,0.135439702836888,0.662707741426152,0.000309848595782007,0.0771643058879096,0.0107470563969453,0.0751422790362877,0.0947642880428901,0.221454467231341,0.148047167035972,0.494374846431117,-0.01692947289299,0.0449648954291482,0.00373501148358621,0.0219238090789777,0.489438103062232,0.020128962822156,0.356245160539381,0.0760973031380351,0.07660512409843,0.217207293458877,0.220861651453527,0.490912784154674,0.400358932276783,-0.0418353855621341,0.0895803725761339,0.0146408874457016,0.205031475965071,0.205302880156916,0.0038909771666758,0.30335016784572,0.00608672430188901
r_0027,0.203447263177668,0.203594169974017,0.00239130305215386,0.20332763770779,0.360243066294875,-0.0171024988634117,0.0140021626942329,0.43953338929994,0.366752230325181,0.374296238256761,0.297335984997555,-0.0211043184225357,0.0370233018805037,0.0150601557590454,0.110417291725583,0.133256622832367,0.659561247147098,3.39974215488439e-05,0.0771259434600277,0.00961084705815179,0.0749840585092035,0.094296103746121,0.212269639009853,0.146806033151226,0.485637892749087,-0.0168290898490081,0.0449964840562319,0.00461371489253642,0.0194201849875284,0.481879752268368,0.0170418401521702,0.346776163744889,0.0760363396932961,0.0765578957004982,0.207066661056448,0.211768325726402,0.48351482019788,0.396327768119333,-0.0440495885956788,0.0832197267145482,0.0127131311298914,0.20321631842194,0.203513968152881,0.00442789440216123,0.296139188845131,0.00226189387124915
r_0039,0.713148891261608,0.713057226310207,0.594266748477776,0.713021439571507,0.314558214208714,0.424136627218245,0.458728630470477,0.372849366387557,0.491410181319163,0.5968872443951,0.285417897407385,0.348323005233804,0.485283610225485,0.0394720189003551,0.507020662522276,0.6600755982595,0.529488216275923,0.120265131362344,0.61511165058954,0.538707922348646,0.649263644665543,0.507103650851524,0.304266027307597,0.56033107810714,0.492392569191029,0.42253419699026,0.464194459870095,0.449712986795176,0.0655306713593168,0.326712481550329,0.00643145506216134,0.370894084199887,0.612568836013291,0.614128996489501,0.200071314642517,0.305896590450391,0.325896458900826,0.499667008602839,-0.036223721633025,0.000147781381805859,-0.00172282887276882,0.713057126555771,0.71302000323373,0.0203529124547003,0.283730463116826,-0.000867905578158315
r_0040,0.711273641028672,0.71136507669657,0.59424475261282,0.711337830642951,0.316480179097004,0.421799421904762,0.455934938625212,0.370773741692787,0.489600504675191,0.596576450451633,0.284897833411405,0.346013545976046,0.483699592833972,0.0409361802651233,0.508165099569654,0.660072669593119,0.531485714418764,0.123476947314665,0.614482786560373,0.537639708452963,0.647715574951731,0.50635031970718,0.303831531257196,0.559515245805619,0.490193077377557,0.420187641020099,0.463839444441037,0.448187643697132,0.0642729435816836,0.326609083695826,0.00686833637633137,0.37051474297199,0.611983592925483,0.613504624773118,0.199157540748186,0.305427200236808,0.325776636700562,0.498542595959712,-0.0364409376467024,0.000158804113077613,-0.00141021205684839,0.711318783665801,0.711293859520001,0.0209375513926899,0.283195801038728,-0.00128991052788555
r_0042,0.7130376694764,0.713105502650789,0.596367443735627,0.713127481841778,0.315062106564214,0.423513343191575,0.459193375919656,0.370602175886591,0.490161964582095,0.595913067365837,0.284380247962784,0.348810193168548,0.486346797945158,0.0401411794530733,0.509010390485903,0.661034398987044,0.528927837925338,0.1239409346733,0.617053674225067,0.539214906711112,0.649719317880498,0.511189820339433,0.303145427959791,0.561247273452918,0.489541841491282,0.421904743752416,0.465419171789842,0.450819415941165,0.0630186129463543,0.325609004193647,0.00704390098305894,0.369004770815863,0.614040046309274,0.61577606613407,0.198752490184931,0.304919996778096,0.324724439911847,0.497441363305475,-0.0357637741302178,9.86279880167844e-05,-0.00154678799323548,0.713112641959826,0.713107873291838,0.0201151680509851,0.282705543411043,-0.00123936500956412
r_0065,0.712496604419948,0.71259666802612,0.595235009336101,0.712623962296422,0.31541430607807,0.422305324245458,0.457113639171505,0.3713808865134,0.490722813742765,0.5958165545308,0.284410815714519,0.346186804278516,0.48470864235227,0.0416893279574822,0.50849346038252,0.660201671615233,0.53069418583213,0.123358785741936,0.615775851500087,0.538545771214863,0.648787659212462,0.508727692114649,0.305294853622471,0.559594088986361,0.489322962379527,0.420663974272522,0.464733136601412,0.448554227487556,0.0654016350343104,0.325561048586726,0.0069093466718683,0.370820829822199,0.612972737721314,0.614619297596672,0.200767247678824,0.306995753851853,0.324677453931984,0.498240726242589,-0.0357535672457244,0.00015246013641036,-0.00150973356528672,0.712564647047557,0.712547937610451,0.0202441194219023,0.282730935757545,-0.0011386460423553
r_0079,0.290918309833621,0.290218245227053,0.0344167672104089,0.289961322298103,0.508450213622192,0.0357605563184442,0.0608432996205084,0.772234877005481,0.610298222615764,0.442563951638121,0.433143749335606,0.00482635008628158,0.0714430750967612,0.0837567684495642,0.188318377745722,0.200573131080369,0.592522110500863,-0.00804229587022409,0.147647615873722,0.0895134991513995,0.143213047715187,0.117237251168288,0.491349573273001,0.23736762180934,0.69488654242981,0.0353171945999044,0.0924668084199362,0.0311567940323145,0.159806357128748,0.664432564568137,0.0485918517534768,0.653923136368162,0.14723681662649,0.147569981776774,0.526586247225182,0.487340718902978,0.66446967352227,0.636674097995482,-0.0177807324170268,0.0899802203990044,0.0397150496222424,0.289345744387761,0.289553402461158,0.0129759765453163,0.428512308148029,0.0615165757299051
