Row,rMat_valid1,rMat_valid2,rMat_valid3,rMat_valid4,rMat_valid5,rMat_valid6,rMat_valid7,rMat_valid8,rMat_valid9,rMat_valid10,rMat_valid11,rMat_valid12,rMat_valid13,rMat_valid14,rMat_valid15,rMat_valid16,rMat_valid17,rMat_valid18,rMat_valid19,rMat_valid20,rMat_valid21,rMat_valid22,rMat_valid23,rMat_valid24,rMat_valid25,rMat_valid26,rMat_valid27,rMat_valid28,rMat_valid29,rMat_valid30,rMat_valid31,rMat_valid32,rMat_valid33,rMat_valid34,rMat_valid35,rMat_valid36,rMat_valid37,rMat_valid38,rMat_valid39,rMat_valid40,rMat_valid41,rMat_valid42,rMat_valid43,rMat_valid44,rMat_valid45,rMat_valid46,rMat_valid47,rMat_valid48,rMat_valid49,rMat_valid50,rMat_valid51,rMat_valid52,rMat_valid53,rMat_valid54,rMat_valid55,rMat_valid56,rMat_valid57,rMat_valid58,rMat_valid59,rMat_valid60,rMat_valid61,rMat_valid62,rMat_valid63,rMat_valid64,rMat_valid65,rMat_valid66,rMat_valid67,rMat_valid68,rMat_valid69,rMat_valid70,rMat_valid71,rMat_valid72,rMat_valid73,rMat_valid74,rMat_valid75,rMat_valid76,rMat_valid77,rMat_valid78,rMat_valid79,rMat_valid80,rMat_valid81,rMat_valid82,rMat_valid83
r_0005,-0.477569141077554,0,-0.478511812171712,-0.478875384439763,-0.479380582309278,-0.480062057078746,-0.48094695813973,-0.482030619515103,-0.483258135446286,-0.484485045590791,-0.485455865898895,-0.485795626542821,-0.485021097249405,-0.482538279099628,-0.477569141077554,-0.469044464184262,-0.455226324576933,-0.433168964529291,-0.397765091335755,-0.340312867515685,-0.245910114042603,-0.0968721156497488,0.103178139349691,0.298168813689523,0.434940839946244,0.513861764954576,0.558980384272941,0.585742633906881,0.603022166884449,0.612948702785333,0.617796509904519,0.618686081065874,0.617914626437553,0.614887664360081,0.608962701486728,0.597742695468013,0.58706669518613,0.5742099659638,0.561329130895194,0.547920260009343,0.522077632630781,0.484914253296655,0.455785040313072,0.428420546482034,0.394659815109565,0.35811326682327,0.33833959113546,0.332912279272769,0.330350128045413,0.327506175197948,0.325960891782826,0.321491970263712,0.319738092268339,0.322471065134751,0.326608809680993,0.328365573189871,0.329348479939851,0.33020063292196,0.331051498194051,0.331015883456894,0.330357636505258,0.329438421427742,0.32870865554263,0.328700008869509,0.329970416819341,0.333083446545223,0.338824799719254,0.347269782843102,0.357957329882888,0.370782329575926,0.385132779968666,0.399326324966787,0.412400657270487,0.423788911058378,0.433136672081304,0.44059953510512,0.446402008202988,0.450737722645328,0.453953310181511,0.456303442750575,0.458004979433595,0.459226275829699,0.460103549166135
r_0007,0.82474249790573,0,0.830246298196838,0.830108048425902,0.829953624394728,0.829753805381725,0.829505744497938,0.829255583074152,0.82887524434777,0.828406207362839,0.827885625753905,0.827256310356218,0.8264720674426,0.825657015905942,0.82474249790573,0.823851989891931,0.823007176321317,0.822204654737745,0.821490431938351,0.820938440683244,0.820652713632652,0.821019482565592,0.82213262722928,0.823518968728999,0.825618292866221,0.829147501768882,0.827875121766357,0.823745433408192,0.820246953470679,0.813931390145021,0.806045017997551,0.794824073013644,0.781766168639866,0.768320479966722,0.753286986250723,0.732216404250311,0.698661564254327,0.656320687115791,0.607325406537557,0.553135392636719,0.495166733304163,0.436632085718224,0.384029796743772,0.336577329195673,0.302141921853011,0.278496958384255,0.259888410162792,0.246510562697279,0.238486350932621,0.233789594823215,0.230562415938246,0.229249036146046,0.229428098129447,0.230949101709576,0.233957838155811,0.238648726729524,0.245352294083694,0.254525125884924,0.266820834290589,0.281881307343639,0.299316674206227,0.318229046303804,0.337324624271453,0.355246885555333,0.370953763188625,0.383936349325994,0.394170080091406,0.40197064605848,0.407762874567585,0.41200845438462,0.415221694822195,0.417523027008389,0.419164560028143,0.420353780206334,0.421200253618398,0.421793115341195,0.422213314501297,0.422490860625306,0.42272161439007,0.422870713203717,0.422976202354027,0.423050824770956,0.423103606214829
r_0016,0.336013815729111,0.185243841311845,0.262159011625522,0.265926033240179,0.270382404854706,0.275491439469331,0.281212128961901,0.287475905284462,0.294203345214393,0.301243196805672,0.308482006882869,0.315754297010973,0.323735490557141,0.330969851795315,0.336013815729111,0.340798757864053,0.345013086873759,0.349275396341082,0.353995341642262,0.359475035839644,0.363416124660464,0.363776537370205,0.363094787975944,0.347435830707733,0.331245998383335,0.324333594911386,0.324112410039492,0.324851304898202,0.329120230017781,0.333486255288161,0.339055552035515,0.342634339651082,0.34424252905907,0.344885323082067,0.343187957084066,0.341384504112175,0.338332516576261,0.333475838047931,0.326987516973049,0.320753795038098,0.315825825959675,0.311882058057568,0.307976192120288,0.305376951827082,0.302974549064812,0.301624689525871,0.301642529956962,0.301782910703593,0.301447106298461,0.300639683879419,0.299252902872721,0.297064455580494,0.294158465944587,0.290711544836344,0.28662536602748,0.28229631710196,0.277748810406498,0.273270984633654,0.269128010146188,0.265533535837708,0.262558884278792,0.26024962909291,0.258636241483569,0.257416603587265,0.256510665501739,0.255848618768613,0.255366041694327,0.255022146177024,0.254772866994584,0.254607193329406,0.254475070295715,0.254389977886902,0.254317930962291,0.254265589142715,0.254246772352806,0.254223929422781,0.254208155787397,0.254196995741338,0.254189101243947,0.254183517479386,0.254179568501083,0.25417677595709,0.254174801424103
r_0018,0.566718685326509,0,0.631504784767896,0.630573900779065,0.628932991750123,0.62636357827821,0.622694083037706,0.617844675369417,0.611864190862338,0.604926299374842,0.597417915185587,0.589475711376222,0.581625236033002,0.574049241120635,0.566718685326509,0.559303702667956,0.551468945989912,0.543130429536111,0.535078121615811,0.527399018983359,0.520952812989606,0.516476887764504,0.51120238192551,0.509585309346028,0.50493356541097,0.489092558499821,0.472033558884621,0.44656731700883,0.415452036855973,0.357802536023462,0.283697963109841,0.235043332446532,0.227912044601451,0.235805328418783,0.171188777585204,0.074726103532823,0.00690801023618779,0.0020713675561538,0.0195740070543655,0.0337444017298431,0.0558136574774941,0.0796027928452285,0.0879532957730262,0.0963741424710862,0.0952983667952988,0.0908682029309705,0.0891806386037367,0.0937375811499064,0.100180258936587,0.111078339682127,0.1222562017832,0.132200420912203,0.140267884175731,0.15114962161445,0.159988193290157,0.1680600241996,0.173698565951301,0.177701029375932,0.180512621008979,0.181944893515011,0.18222351797179,0.181816436510165,0.18193717430729,0.183924870344453,0.188708941936609,0.196464631843641,0.206616586864908,0.218109736289899,0.229709219242331,0.24040559023216,0.249599512441882,0.257088583276833,0.262945947224682,0.267397478023727,0.270693604625452,0.273120538365782,0.274876258633023,0.276139809229622,0.277045143238075,0.277690582236222,0.278222207709748,0.278475899792195,0.278707202026248
r_0023,-0.854368915324787,-0.799697227148376,-0.84904995278674,-0.850901073438874,-0.852667828365486,-0.854047688013472,-0.855050009752095,-0.855576927250175,-0.855631756166374,-0.855300859268568,-0.854753706476489,-0.854201509501401,-0.853841716963211,-0.853854733601073,-0.854368915324787,-0.855390540893052,-0.856864657371376,-0.858434159414761,-0.859444468153701,-0.860392821144109,-0.861408487016625,-0.862536050243798,-0.863766363506174,-0.864356143136833,-0.864478768164935,-0.864437449374856,-0.863779201064502,-0.862731235935707,-0.861608670929252,-0.861214522866549,-0.860992325169687,-0.860707244272246,-0.86213371985411,-0.863626264753875,-0.864655839773359,-0.865292298550807,-0.865526980259159,-0.865554709349748,-0.864976608951178,-0.866008361551328,-0.867394058791717,-0.867849168827854,-0.868053009632538,-0.868175094266231,-0.868461928234098,-0.868535875741945,-0.868348900393286,-0.868122460199229,-0.867886221785135,-0.867652302336655,-0.867477360152851,-0.867365464110893,-0.867276600466262,-0.867200510864798,-0.867119254497757,-0.867026152959644,-0.866912774161115,-0.866768902846619,-0.866583956072557,-0.866349442030331,-0.866058457104213,-0.865710593282453,-0.865317460153931,-0.864900103309062,-0.864486251838183,-0.864101159613322,-0.86376331864447,-0.863481715869735,-0.863256486601663,-0.863081430902325,-0.862948314425954,-0.862850269065496,-0.86277673242756,-0.862723393760986,-0.862680693320988,-0.862664158293202,-0.862644460334617,-0.862630821125094,-0.86262113253931,-0.862614259445983,-0.862609388153553,-0.862605937884839,-0.86260349510931
r_0025,-0.80183617532235,-0.677299496767698,-0.779607640220789,-0.781616673673481,-0.783651383900153,-0.785619142408383,-0.787481342502465,-0.789199756972363,-0.790826009656527,-0.792393684060433,-0.79402051942907,-0.795760934784091,-0.797643018464803,-0.799664871321543,-0.80183617532235,-0.80407571498564,-0.807015632241373,-0.81135862170865,-0.815140010059673,-0.816405667843248,-0.817457514851706,-0.818627098727692,-0.818728941640624,-0.818566720917602,-0.81882349728686,-0.818894178633801,-0.816365677448538,-0.814369351064714,-0.812193807519179,-0.80861891830331,-0.803284549751764,-0.796968168248633,-0.789940930403418,-0.782376509334857,-0.778481697215225,-0.783713681230063,-0.784842369072257,-0.783239122213643,-0.781438293547072,-0.780527758672797,-0.779139115996254,-0.77750106867686,-0.77589368700189,-0.774482311923461,-0.773137663583544,-0.771885149700174,-0.77080650424934,-0.769905239298495,-0.769126305678794,-0.768479097264389,-0.767920421969781,-0.767415052945191,-0.766922754965149,-0.766408014136642,-0.765825611499439,-0.765126109238225,-0.764258174831641,-0.763175378652345,-0.761848709765856,-0.760290933210317,-0.758560427017944,-0.756757591374991,-0.754999910329839,-0.753392850832138,-0.752003665802105,-0.750859769733237,-0.74995410475628,-0.749255459502242,-0.748732015658503,-0.748344487071884,-0.74806234446179,-0.747855791911308,-0.747711918694198,-0.747608364127016,-0.747533718991413,-0.74747750721491,-0.747439671340518,-0.747412839404547,-0.747393827273091,-0.747380363953743,-0.747370833932109,-0.747364089966546,-0.747359318364805
r_0027,0.477216554543507,0.138460145953875,0.414630892305778,0.425134589811988,0.436679936969671,0.448590955139773,0.459866252651513,0.469558147183851,0.476740696675119,0.480821462433851,0.481682874743963,0.48133053654587,0.479859558213121,0.478227646058078,0.477216554543507,0.476942253231805,0.474875445725606,0.47044450323568,0.469375330140409,0.468121017653324,0.455031546881826,0.442625544495194,0.432932875163994,0.431323705989462,0.416521470095326,0.407748642057269,0.389204926394511,0.370121117589121,0.346121631917998,0.30385473877376,0.20025731552926,0.109110233252772,0.0971791068968559,0.098900719798071,0.110480412009151,0.129408087432593,0.143300785858829,0.158964716595572,0.15635071745692,0.163690342927568,0.177867766411596,0.191589799207489,0.201106614660204,0.209135900291595,0.212634994604612,0.213154067434433,0.213789888045807,0.214014315312366,0.215820886305917,0.217225304884277,0.218460598184829,0.219726462211917,0.221187954298283,0.222646138898622,0.224237353535352,0.226165518130139,0.228702520530944,0.232179049463136,0.236983037356305,0.243260966801614,0.250964187892418,0.259654928727146,0.268519047178097,0.276562889639053,0.282965567620458,0.287331899701384,0.289747277744646,0.290646885888716,0.290557847394247,0.289964711229486,0.289167985636715,0.288407116180317,0.287734419529723,0.287198645635761,0.286780950960162,0.286379538487687,0.286150486955447,0.285975326235922,0.285838287160857,0.2857593502628,0.285694654278919,0.285648561370685,0.285615793937893
r_0029,-0.866059187432255,-0.764540371865357,-0.870366406487258,-0.871263421676147,-0.871928029166567,-0.87229625050914,-0.872354297955168,-0.872172099157748,-0.871797607403172,-0.871296007237825,-0.870679530908912,-0.86985537194758,-0.868834794117077,-0.867577442867174,-0.866059187432255,-0.864447086217541,-0.86274496851985,-0.861153107853529,-0.859834320520843,-0.858978390106825,-0.858727015875647,-0.859080370907642,-0.860002315309836,-0.86097911919209,-0.861478673745983,-0.862145758861627,-0.862939862130875,-0.863918512081541,-0.864930490286138,-0.865919592275979,-0.866128097479719,-0.866390175574277,-0.866031125710025,-0.864940460676024,-0.863827376485091,-0.863370736264594,-0.862810541446451,-0.86203093342517,-0.863278975088709,-0.864637593755944,-0.865601308212269,-0.866225200145035,-0.866485902355434,-0.866540691234635,-0.86608688816237,-0.866872585162375,-0.868034308364128,-0.868565635268378,-0.868871546313687,-0.869163969136721,-0.86944331679224,-0.869620227836156,-0.869451799063478,-0.86924699110718,-0.86900734511223,-0.868778896888131,-0.868598491572545,-0.868481846160102,-0.868389092510202,-0.868309163477449,-0.868224421976246,-0.86812764960446,-0.868009623925856,-0.867860065092833,-0.867668533936601,-0.867425510500218,-0.867125042744475,-0.866766336223183,-0.866362376124839,-0.865934777181469,-0.865509698131999,-0.86511736710735,-0.864770567605912,-0.864481878569549,-0.864251006555648,-0.864079826858785,-0.86394165114819,-0.863841656350408,-0.86376843138237,-0.863715339573658,-0.863677120591704,-0.863649749430498,-0.863630219100106
r_0032,0.0637111375734683,0.141973775128333,0.0950123380395727,0.0913500154264461,0.0873292560418811,0.0831380825881831,0.079034217243416,0.0752380186784825,0.0719189390561117,0.069168699744891,0.0670143794896111,0.0654321313611491,0.0643778126876245,0.0638111464239505,0.0637111375734683,0.064088736305658,0.0649948784292966,0.0665300860473134,0.0688555659453739,0.0721949545876474,0.0768223941323997,0.0830860869152518,0.0913392701220328,0.101859390331541,0.115111620952362,0.130306897639234,0.14666528971623,0.16292088888496,0.177315118324071,0.185321259997589,0.187313683798408,0.192485518555426,0.19564690824268,0.191854709458556,0.181141995576887,0.159440225276631,0.121041585616799,0.0694850530648237,0.0136180815551953,-0.018653774632379,-0.010791475100465,-0.0118360842807255,-0.0363236148195515,-0.0826557488436101,-0.108590950489198,-0.122821840593134,-0.143641404922778,-0.166953935107637,-0.183911811828118,-0.187620066132226,-0.18898369980041,-0.191208324074011,-0.194350800331353,-0.19553534698812,-0.19622774988701,-0.197489422777993,-0.198928691730416,-0.200544176062679,-0.202235229049838,-0.203900199695514,-0.205597683891783,-0.207186282642993,-0.208635650834878,-0.209881162870077,-0.21090707244227,-0.211723482010753,-0.212354493257129,-0.21283890013368,-0.21316512081514,-0.213434934479466,-0.213614576766126,-0.213768611254025,-0.213863019665044,-0.213911050684055,-0.213982569920874,-0.214102446926965,-0.214051865569502,-0.214057682609681,-0.214059018959251,-0.214067738477909,-0.214073918221965,-0.214078303519474,-0.214081424414393
r_0039,0.637294664413773,0.713148891261608,0.710247215563612,0.709655529347109,0.708862936660415,0.707802231242252,0.706316086424427,0.704162592678186,0.701359381111795,0.697804268440698,0.692528684788256,0.685648859430212,0.675928200652987,0.660540265677874,0.637294664413773,0.606003353501616,0.575683787531687,0.555094825919791,0.538164762421815,0.525033221278508,0.510968784192995,0.494766156197897,0.479822975989302,0.478979051714724,0.48507271574061,0.485931756167577,0.480436708939787,0.465746871323748,0.44398215356012,0.418740718778612,0.393967354023553,0.370070896680461,0.348726991868188,0.329042703624656,0.310953822674144,0.293604470733603,0.278229894343911,0.264488953731146,0.250924996788914,0.237700559995018,0.226145043870513,0.21450271700799,0.204204219834867,0.19433554841303,0.186202735250244,0.179429631159166,0.173679207630638,0.168660386764149,0.164861008750575,0.163134037654162,0.162615101836565,0.162558792059231,0.162519021761564,0.162490872181343,0.162470936924594,0.162456791793277,0.162446698724406,0.16243955502054,0.162434557256768,0.162430867534404,0.162428158846804,0.162426971851967,0.162425988682591,0.162424283155122,0.162424680054131,0.162423814459573,0.162423317176259,0.16242157633925,0.162423181673559,0.162424670837424,0.162418168330716,0.162417405902838,0.162407960277423,0.162412089102287,0.162422878836742,0.162422911550016,0.162422902131273,0.162422895701721,0.162422891481328,0.16242409943824,0.16242288782584,0.162422887947259,0.162422889337064
