Row,rMat_valid_normalized_ori1,rMat_valid_normalized_ori2,rMat_valid_normalized_ori3,rMat_valid_normalized_ori4,rMat_valid_normalized_ori5,rMat_valid_normalized_ori6,rMat_valid_normalized_ori7,rMat_valid_normalized_ori8,rMat_valid_normalized_ori9,rMat_valid_normalized_ori10,rMat_valid_normalized_ori11,rMat_valid_normalized_ori12,rMat_valid_normalized_ori13,rMat_valid_normalized_ori14,rMat_valid_normalized_ori15,rMat_valid_normalized_ori16,rMat_valid_normalized_ori17,rMat_valid_normalized_ori18,rMat_valid_normalized_ori19,rMat_valid_normalized_ori20,rMat_valid_normalized_ori21,rMat_valid_normalized_ori22,rMat_valid_normalized_ori23,rMat_valid_normalized_ori24,rMat_valid_normalized_ori25,rMat_valid_normalized_ori26,rMat_valid_normalized_ori27,rMat_valid_normalized_ori28,rMat_valid_normalized_ori29,rMat_valid_normalized_ori30,rMat_valid_normalized_ori31,rMat_valid_normalized_ori32,rMat_valid_normalized_ori33,rMat_valid_normalized_ori34,rMat_valid_normalized_ori35,rMat_valid_normalized_ori36,rMat_valid_normalized_ori37,rMat_valid_normalized_ori38,rMat_valid_normalized_ori39,rMat_valid_normalized_ori40,rMat_valid_normalized_ori41,rMat_valid_normalized_ori42,rMat_valid_normalized_ori43,rMat_valid_normalized_ori44,rMat_valid_normalized_ori45,rMat_valid_normalized_ori46,rMat_valid_normalized_ori47,rMat_valid_normalized_ori48,rMat_valid_normalized_ori49,rMat_valid_normalized_ori50,rMat_valid_normalized_ori51,rMat_valid_normalized_ori52,rMat_valid_normalized_ori53,rMat_valid_normalized_ori54,rMat_valid_normalized_ori55,rMat_valid_normalized_ori56,rMat_valid_normalized_ori57,rMat_valid_normalized_ori58,rMat_valid_normalized_ori59,rMat_valid_normalized_ori60,rMat_valid_normalized_ori61,rMat_valid_normalized_ori62,rMat_valid_normalized_ori63,rMat_valid_normalized_ori64,rMat_valid_normalized_ori65,rMat_valid_normalized_ori66,rMat_valid_normalized_ori67,rMat_valid_normalized_ori68,rMat_valid_normalized_ori69,rMat_valid_normalized_ori70,rMat_valid_normalized_ori71,rMat_valid_normalized_ori72,rMat_valid_normalized_ori73,rMat_valid_normalized_ori74,rMat_valid_normalized_ori75,rMat_valid_normalized_ori76,rMat_valid_normalized_ori77,rMat_valid_normalized_ori78,rMat_valid_normalized_ori79,rMat_valid_normalized_ori80,rMat_valid_normalized_ori81,rMat_valid_normalized_ori82,rMat_valid_normalized_ori83
r_0005,-0.72124380643566,0,-0.102770423065224,-0.636825139423098,-0.636728983693538,-0.637081772502908,-0.636828424518211,-0.63682947129887,-0.636868332173201,-0.637273491038919,-0.636539432923164,-0.6366743060015,-0.651834786811586,-0.757738132028082,-0.77644513156128,-0.776753369765206,-0.775374117247248,-0.773505526426333,-0.766134346733883,-0.670860746071592,-0.627272615788538,-0.624433172177495,-0.624444990067199,-0.624432763605782,-0.623877562014853,-0.623619353076502,-0.614262491340308,-0.43029273968568,-0.187802961759343,-0.12350569890129,0.559384524682363,0.880315063652188,0.914163520248342,0.970148776868996,0.989814218774294,1,0.961441396519167,0.880447931450682,0.842956874095505,0.831794863948142,0.816630936285563,0.859277948964244,0.888218177801522,0.878084363622021,0.746922608537674,0.500335623337642,0.416642254767972,0.429266840836887,0.467579028590997,0.559908293146294,0.568850928811397,0.525473280749565,0.540032434821487,0.513708246371787,0.497527650180307,0.512170663111845,0.536983821524129,0.538360509988927,0.524038236969883,0.51226971847542,0.513934526434587,0.507903363847949,0.491388587458779,0.46631910241834,0.448561069492599,0.447439398566268,0.447273176360146,0.443789620906145,0.432229707838792,0.438986172082079,0.57566456881936,0.691385971538782,0.697893596486643,0.698106222727022,0.698133907667183,0.698108574769053,0.698110066445415,0.698114013661303,0.698113045176725,0.698110324627354,0.698109868814603,0.698106863186751,0.698110446425534
r_0007,0.96432519037057,0,0.944502714171039,0.980315604840894,0.970897272848249,0.966663232002237,0.966027663522036,0.968194291253043,0.97051148289431,0.970636149926066,0.970594165963178,0.969335273968478,0.963378071292528,0.961362309568828,0.960219061800467,0.9616276445155,0.961614504717747,0.961601773805847,0.961236428792893,0.95952513722633,0.95915763470823,0.958787422184083,0.956859247013117,0.955123424469867,0.954830054779746,0.953765035156196,0.93902527177815,0.941328641802483,0.943868990331656,0.956868394080453,1,0.992156525406654,0.978125772492208,0.970541608696998,0.930064391945429,0.935673005227968,0.922134511295358,0.888683783690813,0.879164182143888,0.882831558910451,0.88072307693535,0.893420421735562,0.726975398526351,0.247492539025056,0.214490405111009,0.239296072398661,0.25747301632449,0.258284495578901,0.257145518318319,0.255861420740894,0.254737302395456,0.254678025817803,0.2546716410713,0.254655429082644,0.254730860247653,0.254691256108896,0.254682618232933,0.254642622962385,0.254632317548486,0.253468879029586,0.237516222521781,0.226329755826346,0.283649301401222,0.472254659784278,0.494109524698837,0.494834971957876,0.494840527176348,0.494858565191184,0.494858588160223,0.494858588886567,0.494858588909536,0.494858588910262,0.494858588910285,0.49485858891062,0.494858588910286,0.494858588910286,0.494858588910286,0.494858588910251,0.494858588910342,0.494858588910286,0.494858588909938,0.494858588924928,0.49485858855721
r_0018,0.887219892724565,0,0.491361298720356,0.48675253857297,0.502471740457602,0.812511863128774,1,0.98856774193198,0.971344041395268,0.945822262417635,0.928484011042908,0.884887398358786,0.870378761407031,0.869832055023394,0.869814664465169,0.869813831996745,0.869811089592536,0.869677291789981,0.865278525994548,0.73566931300058,0.591593215553447,0.644574630999875,0.699879374193757,0.732513732078594,0.77215270087074,0.787473998744558,0.756053157881702,0.752255911682246,0.736231690617941,0.636576594984657,0.666542992523251,0.74849667800961,0.732503242817522,0.467190732866975,0.174084730367419,0.188527875033523,0.0939707348308502,0.104637384596603,0.1078081978281,0.122426111291663,0.0905210754125553,0.115519205152008,0.150307145485058,0.13863247072388,0.144080290573191,0.110846113399707,0.114618828038141,0.13587898869113,0.14587709018364,0.171668287435868,0.183320970870418,0.208856649401289,0.22018520736103,0.22694694291998,0.256052538633341,0.283158818677146,0.287595063994226,0.291007775946121,0.292158714215197,0.292185029955604,0.292409908678394,0.290046807759263,0.16456734158904,0.13961896980987,0.138683557442304,0.138698329159862,0.139228503575112,0.155982322307781,0.343918769166257,0.433289707225488,0.43708752893894,0.437210056493882,0.436984079071547,0.437212708542062,0.437212985765381,0.437214001394695,0.437169367800831,0.437212713130586,0.437212712203989,0.43721271255306,0.437219605704048,0.437201787142893,0.437212713147016
r_0027,0.853982334554931,0.247757037782151,0.263864733512393,0.367218613413517,0.425314053669203,0.461257534660508,0.609659830244266,0.839340034298901,0.943042555775648,0.951818292969166,0.956982991574215,0.96315460553364,0.796653695558606,0.652058475893401,0.71934626877305,0.782500971728781,0.821599571216096,0.870970539415803,0.888832531673235,0.853125919926332,0.849404219991409,0.849391821505136,0.853527092476888,0.90318186609751,0.944338356779586,1,0.859146086897523,0.696648379119919,0.693417278492153,0.685827298369778,0.673317651189955,0.639966932239589,0.511211483632488,0.462237389139234,0.347996190362532,0.129026342194131,0.178092110595883,0.157156191297211,0.160569820031244,0.230032757198376,0.279398219406155,0.274318609687026,0.338982123803779,0.355414451940351,0.338496758185103,0.347120276470059,0.338863756315168,0.361710222324804,0.392738395836515,0.398273449840698,0.401883815012667,0.402033302776754,0.401947312063977,0.403564090192168,0.409172081188035,0.413007964665341,0.413077977515378,0.403622268574945,0.363951472586069,0.355917018607017,0.355455300522313,0.355651181882619,0.356690345756617,0.359955824564517,0.428125493863503,0.567842398733805,0.530362799611566,0.510835891950203,0.510105836344391,0.510493547835009,0.510904222913646,0.510930173550962,0.510929123170633,0.510927615189038,0.510931016205995,0.510931016232484,0.510931016233331,0.510931016232589,0.510931016233887,0.510931016233358,0.510931016233359,0.510931016233398,0.510931016232984
r_0032,0.135434893416163,0.301810047492725,0.301800844102513,0.301660105956532,0.297376519555115,0.237726367323727,0.181098025214536,0.13418531360745,0.126585214781599,0.126311271425227,0.126303434023034,0.126303159699703,0.126303151024801,0.126303150750476,0.126303145089632,0.12630315774944,0.126303161951092,0.126303289771252,0.126299608745695,0.126303149416972,0.126302912853401,0.126303597430627,0.126305526347457,0.126302730642677,0.12630366709768,0.126305840490072,0.126306231091929,0.12631090845328,0.126546610416132,0.133882184360232,0.30125072743243,0.727689983673288,0.723436491066846,0.679163052568744,0.703695415725569,0.683192460991735,0.661026893345258,0.669495658151135,0.556715519411045,0.525445404314409,0.472719084704241,0.430062481414354,0.695504082404568,0.961156087394406,1,0.967045605383147,0.637441957231355,0.250731636768448,-0.471524870636642,-0.371437015465552,-0.353593404939165,-0.360184812217064,-0.36193701579004,-0.365002731128751,-0.406825385896713,-0.427796175897807,-0.400708400447711,-0.392736018344722,-0.41627455680957,-0.426263389283161,-0.450063298612152,-0.454926504380461,-0.455107232216009,-0.455112979021005,-0.45511316077635,-0.455113180152521,-0.455113166702751,-0.455113166763215,-0.455113166707247,-0.455113166700177,-0.455113166709112,-0.455113166766301,-0.455113166698427,-0.455113166713951,-0.455113166692906,-0.455113166721352,-0.455113166717164,-0.455113166728576,-0.455127321570846,-0.455113166705267,-0.455113166707401,-0.455113166689242,-0.455113166706559
r_0039,0.890632807057567,0.996640958319339,0.996641735923623,0.996647843568683,0.996760343062283,0.997965457040828,0.995147972654668,0.983055406391429,0.984187836316357,0.99049581078657,0.999330327315076,1,0.981317624404487,0.899105778118307,0.844902012172315,0.834237133639453,0.768175393589439,0.514445113843725,0.435672199102515,0.415936966205387,0.290806620412559,0.279862576657741,0.339076128936211,0.636552390350847,0.657726923270672,0.704863556990305,0.752411994087839,0.743899899036265,0.730899268393638,0.73681272390491,0.761519226277238,0.443962226432516,0.431641992227404,0.42599154760746,0.421572421822206,0.402535730484945,0.386542263709858,0.372312866897013,0.371162953727369,0.368962965812765,0.336240456673644,0.305534904473463,0.268934540207617,0.250763393772626,0.249565571158593,0.244196450552744,0.226996515964592,0.2270836788173,0.226963358671026,0.226989308177109,0.22698662080466,0.22686569296953,0.226990834900137,0.22698947166184,0.22698936463093,0.226989474792937,0.226989474792992,0.226989474793517,0.226989474793511,0.226989474794495,0.226989474793426,0.226989474792904,0.226989474793474,0.226989474793469,0.226989474793176,0.226989474793475,0.226989474793446,0.226989474793476,0.226989474793709,0.226989474793441,0.226988416222813,0.226997527957328,0.226989474793536,0.226989474793417,0.226989474799121,0.226989474793343,0.226989474793744,0.22698947479325,0.226989474793867,0.226989474793576,0.226989474793475,0.226989474793475,0.226989474793144
r_0040,0.812901177573798,0.99712755423816,0.997148770003481,0.997344582552057,0.998078491388378,0.988872719280071,0.980400643492471,0.984235443792448,0.986681277782127,0.997346893355459,1,0.98222795016911,0.901056642171457,0.847168825488201,0.836593605854722,0.770227402772749,0.516603823828617,0.436062898450472,0.416667782522083,0.290548497676348,0.276911403734568,0.314283314465027,0.630667655069878,0.656405200564197,0.653055743805537,0.667652418407713,0.697114837254386,0.727340603467729,0.741843353996234,0.773087619943492,0.453216296466387,0.4398967527318,0.429647292279935,0.42814362392293,0.427494900585732,0.408633923963077,0.378154550508179,0.374061117439442,0.37361823225443,0.373181176053011,0.371239291109274,0.338927477321437,0.308280546851644,0.271735112648308,0.253566376323335,0.252326253717445,0.246856618723688,0.229705645032015,0.229708666408693,0.229574047062523,0.229716003101578,0.229707267998416,0.22973964112049,0.229706465662822,0.229706803260054,0.229706814058124,0.229706801960954,0.229706801960964,0.229706801962823,0.229706801960991,0.229706801961581,0.229706801961127,0.229706801962377,0.229706801960953,0.229706801960982,0.229706801960797,0.229706801963024,0.229706801961539,0.229706801961001,0.229706801960948,0.229706798361169,0.229707457324882,0.229706801960711,0.229706801960953,0.229706801944058,0.22970680196708,0.229706801960812,0.229706801960953,0.229706801960723,0.229706801960959,0.229706801961054,0.229706801960954,0.229706801960954
r_0042,0.582665017544741,0.839158673201542,0.839442660847756,0.843570198274343,0.893684032656717,0.943017224192849,0.970892571835029,0.994340562105797,1,0.982551552409241,0.906276780862192,0.85382536283184,0.84314745125203,0.776304335986578,0.518739599577903,0.423522346089974,0.396975034871178,0.374548954544174,0.368294127935305,0.394729924441773,0.426990864523292,0.40938049771962,0.441982639413146,0.523746226755821,0.696445385291551,0.759613587141901,0.784009169720793,0.787225782988185,0.79064409217245,0.797842745731342,0.783706580821378,0.742734459471229,0.73651261676377,0.674164921692113,0.384624281891286,0.385564467253481,0.388939919045114,0.37754035163934,0.370239342876862,0.369798321322355,0.369926084761572,0.371890326712757,0.371761938540458,0.336435870733587,0.304504633688051,0.267913602139905,0.249587580862041,0.24833623978557,0.242875719267497,0.22548077764867,0.225478368349832,0.225458102869987,0.225480786069401,0.225482604080174,0.225498666208035,0.225479286436869,0.225480787326421,0.225480792248508,0.22548079224829,0.225480792248449,0.225480792248323,0.225480792248333,0.225480792248339,0.225480792248306,0.225480792248306,0.225480792246658,0.22548079224834,0.225480792248339,0.225480792247326,0.225480792248864,0.225480792248297,0.225480792197318,0.225480792251684,0.225481358654954,0.225480792248305,0.225480792250686,0.225480792248613,0.225480890168718,0.225480792248384,0.225480792247906,0.225480792248503,0.225480792248125,0.22548079224811
r_0065,0.847978233674937,0.988604700631207,0.992336566330167,0.993667675746797,0.992630200852039,0.995423021019809,0.998486654730078,1,0.999265769559882,0.99480953913418,0.990889200325245,0.96598925441647,0.957540991470321,0.90039447315834,0.67209886046717,0.678128982061431,0.607203646531401,0.477114522537993,0.407847696899592,0.417312258034894,0.47561671096584,0.437228276320342,0.463552760449777,0.443300900523035,0.58894823490087,0.627342337261834,0.618650563030576,0.622157653837728,0.622963509995572,0.659707661792773,0.64673213585077,0.499204270715934,0.425012083432083,0.409143987577167,0.408089502081027,0.403629155940863,0.395366022621166,0.352077600927681,0.312190239470313,0.269924631196358,0.250748106344197,0.249423851664339,0.244102070468225,0.226940998618378,0.226949178798345,0.22610469663038,0.226940895826733,0.226938811418313,0.227053614008451,0.226947513451479,0.226523717359119,0.226940846560484,0.226940865781715,0.226940865781213,0.226940865781737,0.226940865781456,0.226940865781903,0.226940865781681,0.226940865781604,0.226940865781714,0.22694086578157,0.226940865781715,0.226940865781687,0.226940865782,0.226940865781719,0.226940865780676,0.226940865781714,0.226941314356038,0.226961082419926,0.2269408657806,0.226940865781725,0.226940865781781,0.226940865781715,0.226940865781702,0.22694086578156,0.226940865781718,0.22694086578168,0.226940865781715,0.226940865781715,0.226940865781367,0.226940865781574,0.226940865781574,0.226940865781524
r_0079,0.841468971592012,0.744312043547528,0.761312286155464,0.83985811708265,0.918366835079292,0.968910147784493,0.985665044490909,1,0.947800996005369,0.941156685666146,0.94248641337317,0.94613193496564,0.946075750805988,0.942629465472451,0.939004602791077,0.902774884718003,0.739918820231342,0.735684223634703,0.756687490058799,0.764883284259369,0.762361116124194,0.768044580476091,0.776266431282606,0.733504440875035,0.726381187227453,0.699412367845523,0.641879905460943,0.658987440113062,0.726152143766293,0.747937923405399,0.738832923181162,0.693388581052427,0.749994286490038,0.732908138580575,0.724270209949877,0.5687980602346,-0.214380454490558,-0.258015692407064,-0.272861955884621,-0.317897414297296,-0.327732104041112,-0.313921944800784,-0.301059228388196,-0.303605405360845,-0.321860324420282,-0.317739298899677,-0.317876357188827,-0.315660855306706,-0.255187573870011,0.0340177250845879,0.0767953131311499,0.0715391179326202,0.0398209912693462,0.0206617805522611,0.00664888961201143,-0.00247848663611564,-0.0082552215815576,-0.00858079839012226,-0.00863992475612925,-0.00940093480114022,-0.0101586184797056,-0.0100405028162793,-0.0101962812178764,-0.0101971299883488,-0.0109724026301954,-0.0101988580013841,-0.0101963442119555,-0.0101963442724211,-0.0101963442749317,-0.0101963442747111,-0.0101963442736271,-0.0101963442703123,-0.010196344271971,-0.0101963442744868,-0.0101963442746791,-0.01019634427332,-0.0101963442769182,-0.0101963442746157,-0.0101963442749322,-0.0101963442737364,-0.0101963470329267,-0.0101963442773805,-0.0101991014955619
