Row,rMat_valid_normalized1,rMat_valid_normalized2,rMat_valid_normalized3,rMat_valid_normalized4,rMat_valid_normalized5,rMat_valid_normalized6,rMat_valid_normalized7,rMat_valid_normalized8,rMat_valid_normalized9,rMat_valid_normalized10,rMat_valid_normalized11,rMat_valid_normalized12,rMat_valid_normalized13,rMat_valid_normalized14,rMat_valid_normalized15,rMat_valid_normalized16,rMat_valid_normalized17,rMat_valid_normalized18,rMat_valid_normalized19,rMat_valid_normalized20,rMat_valid_normalized21,rMat_valid_normalized22,rMat_valid_normalized23,rMat_valid_normalized24,rMat_valid_normalized25,rMat_valid_normalized26,rMat_valid_normalized27,rMat_valid_normalized28,rMat_valid_normalized29,rMat_valid_normalized30,rMat_valid_normalized31,rMat_valid_normalized32,rMat_valid_normalized33,rMat_valid_normalized34,rMat_valid_normalized35,rMat_valid_normalized36,rMat_valid_normalized37,rMat_valid_normalized38,rMat_valid_normalized39,rMat_valid_normalized40,rMat_valid_normalized41,rMat_valid_normalized42,rMat_valid_normalized43,rMat_valid_normalized44,rMat_valid_normalized45,rMat_valid_normalized46,rMat_valid_normalized47,rMat_valid_normalized48,rMat_valid_normalized49,rMat_valid_normalized50,rMat_valid_normalized51,rMat_valid_normalized52,rMat_valid_normalized53,rMat_valid_normalized54,rMat_valid_normalized55,rMat_valid_normalized56,rMat_valid_normalized57,rMat_valid_normalized58,rMat_valid_normalized59,rMat_valid_normalized60,rMat_valid_normalized61,rMat_valid_normalized62,rMat_valid_normalized63,rMat_valid_normalized64,rMat_valid_normalized65,rMat_valid_normalized66,rMat_valid_normalized67,rMat_valid_normalized68,rMat_valid_normalized69,rMat_valid_normalized70,rMat_valid_normalized71,rMat_valid_normalized72,rMat_valid_normalized73,rMat_valid_normalized74,rMat_valid_normalized75,rMat_valid_normalized76,rMat_valid_normalized77,rMat_valid_normalized78,rMat_valid_normalized79,rMat_valid_normalized80,rMat_valid_normalized81,rMat_valid_normalized82,rMat_valid_normalized83,rMat_valid_normalized84
r_0005,-0.72124388747694,-0.721243817940799,0,-0.102768818022594,-0.636637847053907,-0.63696640906532,-0.636933272142206,-0.636828434684621,-0.636829481458799,-0.636856762690487,-0.637283189936985,-0.63653944319842,-0.636674322587719,-0.651836529628512,-0.757739882314593,-0.77644576020633,-0.776751704074863,-0.775374113951648,-0.773504899267885,-0.766139084829854,-0.67085151106404,-0.627272625900289,-0.624434960118152,-0.624380419179285,-0.624470713162627,-0.623879081909887,-0.6236243848434,-0.61426380925068,-0.430313124694731,-0.187750993101518,-0.123505423824376,0.559405166077345,0.880393897734505,0.914169235783811,0.970132469508374,0.989807980784976,1,0.961444526676384,0.880628830608192,0.844507226463222,0.831290422317466,0.816455611652647,0.859261408546073,0.886557481299453,0.878111370191313,0.74685178342378,0.500714881793453,0.41604893350676,0.451994067682651,0.467107117765545,0.559081030899295,0.572587317272974,0.525370807007543,0.540336177967264,0.518741032211402,0.497419517774845,0.51217248666647,0.536907809719354,0.538376063742347,0.523945219624083,0.512407778131677,0.512418099026967,0.507900942512675,0.49139004367002,0.467704261366262,0.448559231525875,0.447437677143666,0.447275084940496,0.443784857899607,0.432230126969107,0.438984731696831,0.575659729874322,0.691386773424117,0.697893860206915,0.698110277023487,0.69790561149605,0.698113502800989,0.698111076128495,0.698111715701447,0.698110327173859,0.698113281539417,0.698110726327254,0.698110081134814,0.698113836323743
r_0007,0.964331103167563,0.964325485985006,0,0.944503003708884,0.98031590536994,0.970897571767864,0.966663524033137,0.966027289484103,0.968194588274502,0.970511780404187,0.970636412006599,0.970594463509283,0.969335571058844,0.963378374559458,0.961363116282455,0.960219122542159,0.961627847663976,0.961616084452359,0.961602087432366,0.961237136554195,0.959521680183309,0.959158597991947,0.958787209785325,0.956856930891437,0.955123814450092,0.954831490993377,0.953769957483984,0.939024413026864,0.941322230900694,0.943870787617315,0.95686866668815,1,0.992162609887123,0.978126329909094,0.970541898642199,0.930056917705436,0.935722533009667,0.922136592748649,0.888683989160873,0.879169629241474,0.882825044447886,0.880726076479262,0.893419053030555,0.726984142998312,0.24749030635283,0.214528352319461,0.239296470372687,0.257543848066072,0.258319592657866,0.257144251454178,0.255895166699286,0.25472483729338,0.254660843506145,0.254670200675346,0.254674302558042,0.254671204084368,0.254660076217193,0.254665891973825,0.254670374031183,0.254632439246919,0.253469769789079,0.237595673413265,0.226311114160823,0.283657134448256,0.472254805470675,0.494109682928409,0.49483515024883,0.49485579788459,0.494858716890359,0.494858739859404,0.494858740585662,0.494858740608811,0.494858740609444,0.494858740609468,0.494858740609561,0.494858740609468,0.494858740609468,0.494858740609469,0.494858740608435,0.494858740609468,0.494858740609468,0.494858740609468,0.494858740609468,0.494858738417016
r_0018,0.887237367353732,0.887219892724565,0,0.491361460942355,0.486752568011931,0.502471740457602,0.812511863128774,1,0.988567741931981,0.971344041395268,0.945822262417635,0.928484011043665,0.884887395978558,0.870378761429956,0.86983319868802,0.869814668049775,0.869813985781543,0.869809779872341,0.869677292332583,0.86527851363567,0.735668753348915,0.591597718655199,0.644574699413316,0.699877633480878,0.732498745856048,0.772124982376737,0.787486589949823,0.756060618058075,0.752252701890632,0.736231887763571,0.636583922260054,0.66652687932547,0.74849678727347,0.732551023759536,0.467191135453911,0.174049090877923,0.188626116251011,0.0940173352662102,0.104641726804817,0.107793766262202,0.122655823774406,0.0906636562828652,0.115503147408773,0.150304725386312,0.138591510566573,0.144070002257546,0.111012158093571,0.114850032134029,0.136274615217935,0.145838179510174,0.171601430066921,0.183320969787174,0.208856777380148,0.220217638293007,0.227074206010695,0.256068048453283,0.283158802098322,0.287642593343096,0.290940258125509,0.291922458123313,0.292187422686804,0.29238813072053,0.292829226905312,0.164888294094157,0.139572076795822,0.138681947387379,0.138671849645471,0.139125422814851,0.155982323710836,0.343918768664529,0.433290853573683,0.437087507617109,0.437214026730387,0.437212587918023,0.437212705216594,0.437212809229947,0.437214925764384,0.435725634681769,0.437212713130522,0.437212716800656,0.437212665567103,0.437215677763367,0.437335647383194,0.4372127131298
r_0027,0.871821385366322,0.823171138998883,0.2388181051689,0.527988020450799,0.514998745807109,0.472896857854863,0.494901510341559,0.644004888848309,0.877802883413695,0.972989002014789,0.97883941659549,0.981556479504876,0.986698844409019,0.813031319248457,0.655102027717096,0.722845362312868,0.792738167732442,0.83441874682011,0.884037293376901,0.901519305861942,0.865247533045688,0.861357651633894,0.861370647461487,0.865402042044623,0.912156544953286,0.948173498724473,1,0.840525356625432,0.679577845058892,0.676423180404294,0.668721150825241,0.656456448085905,0.623137189299736,0.497048670449227,0.447629194612171,0.33241393713407,0.110321191015371,0.160652180722978,0.138392219671315,0.14398187676859,0.211579712536783,0.25957697818094,0.254096550618329,0.317805081288295,0.333905919768,0.317381550222474,0.326680618905558,0.318811439306616,0.341137918931958,0.371533043507071,0.377036035672259,0.380506344624419,0.381073378081102,0.380751298358649,0.382479229734812,0.387873615038634,0.391627985461577,0.39197719067829,0.382234119708749,0.342444580754047,0.334075640403053,0.334141540478905,0.334330903484299,0.335339028405651,0.33857220854141,0.406156083895996,0.544101742413554,0.507714433629903,0.488842606736928,0.488137722851312,0.488511957022349,0.488842710559014,0.488969098090689,0.48893435073668,0.488947566873361,0.488933625492554,0.488933625518427,0.488933625519189,0.488933625519214,0.488933625519215,0.488933625519216,0.488933625518968,0.488933625519216,0.488933625519256
r_0032,0.271158636716158,0.113948717222625,0.253929152888389,0,0,0,-0.17764476836396,-0.177644656612506,0.112370366776244,0.112370432056002,0.0365631975529251,0,0.642110180315399,-0.339948165008232,0.299976133123636,-0.151918013012857,0.656613368324874,0.198446571637519,0.312292060436041,0.62112245260481,-0.224576240998499,0.586853589785784,0.17105181856939,-0.153448222461511,-0.36899285778854,-0.0913672788730187,0.220273408019532,0.566401477811171,0.432629626996563,0.538244694095203,0.536090663592945,0.550410783901479,0.694345181272628,0.669960700515884,0.630932986952506,0.645560952824328,0.632269014012105,0.617327941712543,0.65783238475917,0.578105333875636,0.535994715330653,0.472904769885784,0.420796632713299,0.714756084427548,0.977606180110147,1,0.949743378648182,0.661210708812063,0.266164332541871,-0.342618593571784,-0.258591016084798,-0.242892750995664,-0.251176446935489,-0.253134088721532,-0.256895096423207,-0.308737045861596,-0.340095255400588,-0.312227513898547,-0.301922927023041,-0.31857002783237,-0.325631902479896,-0.342412725604183,-0.345823712822769,-0.345950324760621,-0.345954350582862,-0.345954477912347,-0.345954481938609,-0.345954570571914,-0.345954482022656,-0.345954482066843,-0.345954482068002,-0.345954482071135,-0.345954482320314,-0.345954482105505,-0.345954482069831,-0.345954482055779,-0.345954481958504,-0.345954482068307,-0.345954482062753,-0.345954482069329,-0.345954482075235,-0.3459544820693,-0.345954482069713,-0.345954482067618
r_0039,0.857777748551684,0.892172657318125,0.998364090262368,0.956818935339971,0.995343152449101,0.999327407550843,1,0.999426454678416,0.986877323742164,0.987809793298727,0.99308173336179,0.999461095224355,0.999313890877422,0.977866747373028,0.875334431516512,0.806078264845826,0.79330463856677,0.71435944983257,0.423415442471236,0.346053337942698,0.33057283863969,0.200825967153877,0.194651499712925,0.258444062348446,0.581195532316562,0.603343264059254,0.653765620737701,0.707146823208076,0.69241166695308,0.676358956153517,0.683068501078607,0.715270232892595,0.377333523176164,0.36527512028193,0.35906871335722,0.354542005113324,0.33532003537006,0.326559154595788,0.31816396492163,0.317274833726085,0.314956928468805,0.281223020709878,0.249421121795138,0.211620804139932,0.192953894577259,0.191674697502553,0.186214092734465,0.168731026089456,0.168461855221104,0.168544921100279,0.168728737286509,0.168725554710532,0.16882264773662,0.168729103900562,0.168728342090815,0.168728006128945,0.168728341572521,0.16872834157256,0.16872834157168,0.168728341572326,0.168728341572372,0.16872834157249,0.168728341572326,0.168728341572325,0.168728341572326,0.168728341572326,0.168728341572424,0.168728341572025,0.168728341572624,0.168728341573083,0.168728337665484,0.168729477317914,0.168761334266068,0.168728341584643,0.168728341572409,0.168728341570861,0.16872834157238,0.168728341572325,0.168728341572326,0.168728341572326,0.168728341572325,0.168728341572284,0.168728341572329,0.168728341572326
r_0040,0.765685106592892,0.814315941022088,0.998862943060243,0.946582583390985,0.987330873762686,0.995688994134912,0.991773306063193,0.984204571127588,0.988453949665006,0.990325084059588,0.998527378362041,1,0.979140924796263,0.877558812651246,0.808644653186256,0.795946123670875,0.716602323751232,0.425781229036216,0.34653897086454,0.331357710301554,0.200567283996393,0.191362922945869,0.231326370224565,0.57427356777035,0.601400426143148,0.596064775958026,0.612742900820812,0.642244786413485,0.672658879199917,0.688521349086802,0.728620826370386,0.384101790604789,0.37119917105046,0.361780282346216,0.361201290655075,0.36109345273737,0.349218507875354,0.324097548784374,0.320278457167986,0.319822146803959,0.319380138207134,0.317368492083393,0.284001656175438,0.252258634577619,0.214488902856628,0.195758407020834,0.194489888937345,0.188805783911533,0.171495912644289,0.171500705957164,0.171558677645207,0.171496003944316,0.171496424642254,0.171496197545773,0.17149734946484,0.171496024631718,0.171495857180092,0.171498043056686,0.171496024631784,0.171496024630228,0.171496024631785,0.17149602463175,0.171496024631785,0.171496024632063,0.171496024631784,0.171496024631785,0.171496024631785,0.171496024631412,0.17149602463146,0.171496024631639,0.171496024631784,0.171496034809623,0.171497364983931,0.171526713552003,0.171496024691805,0.171496024631785,0.17149606722735,0.171496024630756,0.171496024631785,0.171496024631785,0.171496024631784,0.171496024631784,0.171496024631743,0.171496024631753
r_0042,0.401786055377726,0.5790462315395,0.833946869555675,0.927978277340216,0.937003426385976,0.985356060809773,0.996665011934006,1,0.9986692104861,0.993196415803085,0.972718518204572,0.863248063246302,0.773235327612306,0.757353391819891,0.657966182990499,0.323345063650566,0.233289894326014,0.217883498053669,0.198924930103399,0.201807452580728,0.234655816524094,0.272137243975912,0.25533804080962,0.293104186437727,0.394410019034754,0.619614364453045,0.69912393124351,0.728381362836376,0.733203424843697,0.737543492812151,0.746786702867383,0.728657854809872,0.67210960888403,0.664018718789751,0.592524985771122,0.289064560372238,0.294020528303268,0.298312074606737,0.286895069662845,0.279441277801897,0.278988672732799,0.279117158743759,0.281141870310415,0.281166626790173,0.243442295099068,0.209893579145798,0.170740406343062,0.151574512612613,0.150287093632166,0.144732170967831,0.126916049035627,0.126913158877671,0.126915979330733,0.126915972791921,0.126917467444305,0.126934813691654,0.12691777084356,0.126986016381863,0.126915854969781,0.126915215036198,0.126915981310719,0.126915981309767,0.126915981309933,0.126915981310126,0.126915981309912,0.126915981309897,0.126915981309933,0.126915981309933,0.126915981309933,0.126915981310104,0.126915981309823,0.12691598131,0.126915981328987,0.126915999818894,0.126916587660015,0.126950501779373,0.126915981305761,0.126915981317545,0.126915898448152,0.126915981309954,0.126915981310551,0.12691598131199,0.126915981310057,0.126915981309983
r_0065,0.806370127084327,0.847427876652556,0.987963073856197,0.962978585125669,0.991405544216108,0.994944870019605,0.998498961402743,1,0.999700653827889,0.997598950740588,0.993249671575412,0.985241031164775,0.953049354717718,0.942410230195746,0.87126515771565,0.602413208726428,0.61350889800844,0.535173233962273,0.39271555383877,0.322109292554812,0.331883955777563,0.393444730832516,0.3538571482045,0.380905820186697,0.360375679344843,0.524994377158362,0.562272738945882,0.551962139053265,0.555202901736274,0.561401329916447,0.60270491297285,0.589231516768773,0.433639283067828,0.358264845368872,0.342420787851659,0.341354482689562,0.336156484268486,0.327027442340714,0.281607830532121,0.240107142966977,0.204887721107149,0.192530829629376,0.191638809369331,0.186157888313856,0.168791707012961,0.168779769490781,0.1689805658716,0.168790460601001,0.168787492252919,0.168759297451981,0.168790577266842,0.168790395916193,0.168790475640174,0.168791335991699,0.168790399908375,0.168790399909025,0.168790399909073,0.168790399908853,0.168790399909037,0.168790399908553,0.168790399909073,0.168790399909072,0.168790399909862,0.168790399909077,0.168790399908024,0.168790399909163,0.168790400524763,0.168790399909094,0.168791813080381,0.16879039990873,0.168790399909243,0.168790399909197,0.168790415027991,0.16879255993608,0.168790399909123,0.168790399909294,0.168790399909072,0.16879039990906,0.168790399908773,0.16879039991122,0.168790399908964,0.168790399909413,0.168790399909231,0.168790399909412
r_0079,0.827446745753216,0.838131485351027,0.741359907119205,0.922393285197806,0.938372740172005,0.969297186319577,0.980235643057878,0.98768652647418,1,0.936600659257753,0.929928490719618,0.93181066417687,0.936736863987919,0.936971494225241,0.933792964072609,0.930293564647864,0.892053030981856,0.718314570394239,0.717446188867093,0.740066802253572,0.749723613369399,0.747608060931396,0.75411160913396,0.76305691058105,0.719010185948586,0.711775530385563,0.684262898758047,0.62610387585921,0.6452980181786,0.714856218939818,0.737579637328832,0.728938991984911,0.682355023209412,0.739202211298988,0.721823698600039,0.713428372178907,0.554851062888436,-0.236587015420519,-0.280091071553542,-0.29447241392843,-0.338552579267898,-0.347434573761683,-0.332874067131364,-0.318645210017232,-0.321039385153943,-0.339953885152413,-0.335807717572296,-0.335965232443684,-0.333942559083744,-0.273552557143812,0.0194579421713107,0.0633288234014919,0.0584870942670446,0.0262372414948458,0.00706780572559979,-0.00705243709760705,-0.0160272378610085,-0.0217694149007814,-0.0220927732781876,-0.0221521990620367,-0.022918064034853,-0.0237014411859309,-0.0237144419679079,-0.0237161286156539,-0.0237035072789999,-0.0228216313735455,-0.0237178788115309,-0.023716020303127,-0.0237160203229449,-0.0237160203215561,-0.0237160203256981,-0.0237160203232614,-0.023716020320375,-0.0237160203275952,-0.0237160203271624,-0.0237160203232655,-0.0237160203218311,-0.0237160203193965,-0.0237160203214352,-0.0237160203236341,-0.023716020323261,-0.0237160203232613,-0.0237160203233881,-0.0237204529999916
