Row,sigMat_binned1,sigMat_binned2,sigMat_binned3,sigMat_binned4,sigMat_binned5,sigMat_binned6,sigMat_binned7,sigMat_binned8,sigMat_binned9,sigMat_binned10,sigMat_binned11,sigMat_binned12,sigMat_binned13,sigMat_binned14,sigMat_binned15,sigMat_binned16,sigMat_binned17,sigMat_binned18,sigMat_binned19,sigMat_binned20,sigMat_binned21,sigMat_binned22,sigMat_binned23,sigMat_binned24,sigMat_binned25,sigMat_binned26,sigMat_binned27,sigMat_binned28,sigMat_binned29,sigMat_binned30,sigMat_binned31,sigMat_binned32,sigMat_binned33,sigMat_binned34,sigMat_binned35,sigMat_binned36,sigMat_binned37,sigMat_binned38,sigMat_binned39,sigMat_binned40,sigMat_binned41,sigMat_binned42,sigMat_binned43
r_0542,1,1,0,0,1,1,1,1,NaN,1,1,1,1,1,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0545,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0547,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0549,1,1,0,0,0,1,1,1,1,1,1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0563,1,1,1,0,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0564,1,1,1,1,1,1,1,1,1,NaN,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0565,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0570,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0678,1,1,0,0,1,1,1,1,1,NaN,1,1,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0718,1,1,1,0,1,1,1,1,0,0,0,1,1,1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r_0722,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NaN,1,1,0,NaN,0,0,0,NaN,0,0,NaN,NaN,0,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
