Row,AdrenalGland,ArteryAorta,ArteryCoronary,ArteryTibial,BrainCerebellum,BrainCortex,Breast,ColonSigmoid,ColonTransverse,GEJunction,EsophagusMucosa,EsophagusMuscle,HeartAtrial,HeartVentricle,Liver,Lung,MinorSalivary,MuscleSkeletal,NerveTibial,Ovary,Pancreas,Pituitary,Prostate,SkinUnexpo,SkinSunExpo,SmallIntestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
ABTD1_f,-1.42315949802629e-06,8.82512978694905e-07,2.42384217807867e-06,2.50553387903807e-06,1.43938310936953e-06,1.51115319257933e-06,1.59757637074875e-06,-1.13837422910379e-06,3.16033449831998e-06,1.38590595222254e-06,-8.79612077757663e-05,-0.000131039389114296,-0.000189524797934881,9.33158702975945e-07,-9.45496623729891e-05,-0.000138337030256341,-1.22087083693767e-05,-8.90641501332112e-05,-1.85561634280518e-06,-0.000155120257382624,2.60210722213827e-06,-1.89650169346578e-07,2.0747335600646e-06,2.44050944564478e-07,-3.70430804164101e-06,-1.6538697240609e-06,1.89650169346578e-07,1.25907514325618e-06,2.73302588382762e-06,2.797220047146e-06,-9.10711722879043e-06,-7.30409845552948e-05
ACCOAL_f*,0.198065312207711,0.0551896075669597,-0.000257792841835247,-0.00452185968421331,-0.134454440726979,0.0332926085503442,0.0159672508498922,-9.33282839847838e-05,0.353378043028938,9.33282839847838e-05,-0.000462029837355882,-0.000125941458533119,0.138492473472947,0.2595798832284,0.340343191779973,0.105125579814124,0.0148627995619072,0.191780306156043,0.00810629871476759,-0.0770199186802424,-0.107820322681588,-0.176908097736024,-0.059765625188858,-0.000291748862038976,-0.0536420116585463,0.392333749922605,-0.139505270807927,0.174223153921159,0.00151866829900654,-0.0817879717475008,-0.0423514076336832,-0.0117270792335119
ACHOMm_f,7.73515780316814e-08,-3.9332102719225e-07,1.93991480657019e-08,-4.67539353699031e-06,8.65036690056442e-08,8.45798206394743e-06,4.89323270169706e-06,-4.21924846283339e-06,-1.59377079012035e-06,2.08940903467791e-08,-2.99430328221106e-06,2.2892963302823e-08,5.16448118115242e-06,1.07127027166865e-05,-9.24442612459941e-08,-2.5027735447436e-06,2.50610324714629e-08,-4.90624274540608e-09,1.06740083902768e-05,-3.27728384430515e-08,1.0675946163996e-05,-6.34712542524341e-08,-2.57407430093171e-06,4.90624274540608e-09,-2.97094393308939e-07,-5.32297710686969e-07,-7.52375651558168e-07,5.9746696923213e-08,1.06712819361032e-05,-1.68724766747008e-06,9.35986861350102e-08,-3.05376609288643e-06
ACILEm_f,8.87098508495221e-06,-4.73457778782382e-06,1.72292921374329e-06,7.40639923169084e-07,6.71459879619807e-06,-7.26436412301634e-06,1.30953784360788e-05,2.64677191497142e-07,4.52054187627393e-06,-1.68311209856054e-05,-2.9110818580147e-06,3.24492737957538e-06,-1.40861970081563e-05,-1.01378756738324e-05,8.01604251343679e-06,-2.7354246873168e-06,5.44597693630244e-06,-1.5685831350698e-05,-1.05572693325229e-05,1.54244907801804e-06,-1.49985624752214e-05,1.36084745074871e-05,-1.60273248529519e-05,-5.3990563043671e-06,-2.25981951107457e-06,1.13345404351151e-06,1.320685385231e-05,-2.6467719138612e-07,-1.8358435604382e-05,1.22171363259316e-05,2.23584991021486e-06,-3.13142455143911e-06
ACLEUm_f,1.22258150836441e-06,-7.26225450475848e-06,3.03359215814147e-06,1.16364821198811e-05,9.86350708687134e-06,-1.62870190805187e-05,-1.83324623092007e-05,1.71891531097756e-06,9.23881748571276e-06,2.9895049429296e-06,-9.60447345743631e-06,-4.4383068491527e-06,-8.78958862071677e-06,-2.62952949958706e-06,7.58438965386965e-06,-1.72877924892179e-05,-8.25251686753514e-06,2.47456429403048e-06,3.65909318400526e-08,1.38929045201408e-05,-2.34360353910112e-05,1.26735141618983e-05,-3.65909317290303e-08,2.33955616835146e-06,-1.85089677766648e-05,-4.71912279154107e-06,7.40172090174518e-06,-4.65983901909439e-06,6.1965069004799e-06,-7.67799571310679e-06,1.72875801476291e-05,-6.65154113410615e-06
ACLYSHYc_f,0.000968280533605981,-0.000137353619482306,-0.00074820968503253,-0.000794534700553129,0.000630192312462974,0.000881987423590247,-0.000560406094924248,0.000281804096974092,0.00172649567350225,-0.000630443885171084,-0.000760072542500212,-6.1106010122991e-05,0.00113609853093333,0.00182461214488006,0.0016205794393177,0.000330623508474459,-0.000549268448687301,0.000896016585678727,0.00115914039430731,-0.000650186741657399,0.000772745111030648,-0.00107681141586524,6.1106010123102e-05,-0.000757188790935115,-0.00115339760334032,0.00187884457156473,-0.00110763596380625,0.00144924250893319,0.000687827264180707,-0.000489532430333339,-0.00124217657044468,-0.00106243187564514
ACMPGLUChr_f,0,0,0,0,0,0,0,0,0,0,0.133539956000675,0,0,0,0.837499663087229,0,0,0,0,0,0,0,0,0.103545918938187,0,0,0,0.40385772086131,0,0,0,0
ACMPGLUTTRsc_f,-5.4008939098793e-08,2.38402431129714e-08,1.59120810971913e-08,-8.56585646857866e-09,1.29460011599747e-08,1.81043015023974e-08,-1.79161052660248e-08,-5.76921074246783e-08,1.4117753632803e-09,2.07884495173616e-08,-3.07823251333161e-08,-1.54681029096437e-08,1.54991532941295e-08,1.99386022137205e-08,9.95679294568674e-09,-1.89038764641936e-08,-2.94379431942104e-09,2.2161987023317e-08,-1.4117754743026e-09,4.41208236612312e-09,-5.62275981330629e-09,-1.20626501010079e-08,2.03921571850785e-08,1.23318317779564e-08,-7.56574958238332e-09,1.73936334224578e-08,-1.45727975242593e-08,-4.98966523654332e-09,-4.73502775877321e-08,1.86645895405846e-08,2.29128997997208e-08,-4.23908275148932e-09
ACMPGLUTitr_f,-6.10698351888317e-08,3.70521069381624e-09,-4.52929573846461e-08,9.87276571606799e-09,7.8187563090637e-09,1.14632940917403e-08,-3.26794558080934e-09,9.56206036573093e-09,4.62749549789976e-09,-2.08256676348384e-08,1.11038600536517e-08,6.37396302405335e-09,5.75689884652064e-09,8.48761250171748e-09,8.95262231015437e-09,-8.45637626589735e-09,-1.33366122589962e-08,-6.02861649490194e-09,1.93917348845218e-09,-7.99394406225673e-09,-9.74544278609102e-09,5.8784956902258e-09,6.88507317825326e-09,-1.19468338555251e-08,-1.35088279451523e-08,4.94656227090218e-09,-1.93917359947449e-09,-3.70948249894809e-09,-2.50704175197569e-08,-1.67717527643774e-08,7.14896042364188e-09,-5.91788895665246e-09
ACMPGLUitr_f,0,0,0,0,0,0,0,0,0,0,0.131639203801352,0,0,0,0.832765903600019,0,0,0,0,0,0,0,0,0.102385861233623,0,0,0,0.401519320356933,0,0,0,0
