"","data.gene.id.full","data.gene.id"
"17287","ENSG00000180259.9","ENSG00000180259"
"17288","ENSG00000101265.15","ENSG00000101265"
"17289","ENSG00000089057.14","ENSG00000089057"
"17290","ENSG00000089063.14","ENSG00000089063"
"17291","ENSG00000132646.10","ENSG00000132646"
"17292","ENSG00000101290.13","ENSG00000101290"
"17293","ENSG00000101292.7","ENSG00000101292"
"17294","ENSG00000125772.12","ENSG00000125772"
"17295","ENSG00000171984.14","ENSG00000171984"
"17296","ENSG00000089199.9","ENSG00000089199"
"17297","ENSG00000089195.14","ENSG00000089195"
"17298","ENSG00000125885.13","ENSG00000125885"
"17299","ENSG00000088766.11","ENSG00000088766"
"17300","ENSG00000125872.7","ENSG00000125872"
"17301","ENSG00000101311.15","ENSG00000101311"
"17302","ENSG00000125845.6","ENSG00000125845"
"17303","ENSG00000101323.4","ENSG00000101323"
"17304","ENSG00000125827.8","ENSG00000125827"
"17305","ENSG00000182621.17","ENSG00000182621"
"17306","ENSG00000101333.16","ENSG00000101333"
"17307","ENSG00000125869.9","ENSG00000125869"
"17308","ENSG00000101349.16","ENSG00000101349"
"17309","ENSG00000132623.15","ENSG00000132623"
"17310","ENSG00000132639.12","ENSG00000132639"
"17311","ENSG00000125863.18","ENSG00000125863"
"17312","ENSG00000149346.14","ENSG00000149346"
"17313","ENSG00000101384.11","ENSG00000101384"
"17314","ENSG00000132640.14","ENSG00000132640"
"17315","ENSG00000172296.12","ENSG00000172296"
"17316","ENSG00000101230.5","ENSG00000101230"
"17317","ENSG00000089123.15","ENSG00000089123"
"17318","ENSG00000089048.14","ENSG00000089048"
"17319","ENSG00000101247.17","ENSG00000101247"
"17320","ENSG00000101251.11","ENSG00000101251"
"17321","ENSG00000172264.16","ENSG00000172264"
"17322","ENSG00000125848.9","ENSG00000125848"
"17323","ENSG00000089177.18","ENSG00000089177"
"17324","ENSG00000125870.10","ENSG00000125870"
"17325","ENSG00000125879.4","ENSG00000125879"
"17326","ENSG00000125851.9","ENSG00000125851"
"17327","ENSG00000125864.13","ENSG00000125864"
"17328","ENSG00000125868.15","ENSG00000125868"
"17329","ENSG00000125844.15","ENSG00000125844"
"17330","ENSG00000125888.14","ENSG00000125888"
"17331","ENSG00000089006.16","ENSG00000089006"
"17332","ENSG00000125871.13","ENSG00000125871"
"17333","ENSG00000125850.10","ENSG00000125850"
"17334","ENSG00000232838.3","ENSG00000232838"
"17335","ENSG00000149474.13","ENSG00000149474"
"17336","ENSG00000125846.15","ENSG00000125846"
"17337","ENSG00000089091.16","ENSG00000089091"
"17338","ENSG00000132664.11","ENSG00000132664"
"17339","ENSG00000089050.15","ENSG00000089050"
"17340","ENSG00000101310.14","ENSG00000101310"
"17341","ENSG00000232388.4","ENSG00000232388"
"17342","ENSG00000125821.11","ENSG00000125821"
"17343","ENSG00000132631.5","ENSG00000132631"
"17344","ENSG00000185052.11","ENSG00000185052"
"17345","ENSG00000132669.12","ENSG00000132669"
"17346","ENSG00000173418.11","ENSG00000173418"
"17347","ENSG00000101343.14","ENSG00000101343"
"17348","ENSG00000089101.17","ENSG00000089101"
"17349","ENSG00000173404.4","ENSG00000173404"
"17350","ENSG00000188559.13","ENSG00000188559"
"17351","ENSG00000088970.15","ENSG00000088970"
"17352","ENSG00000088930.7","ENSG00000088930"
"17353","ENSG00000125816.4","ENSG00000125816"
"17354","ENSG00000125820.5","ENSG00000125820"
"17355","ENSG00000125813.13","ENSG00000125813"
"17356","ENSG00000125798.14","ENSG00000125798"
"17357","ENSG00000132671.5","ENSG00000132671"
"17358","ENSG00000178726.6","ENSG00000178726"
"17359","ENSG00000125810.9","ENSG00000125810"
"17360","ENSG00000132661.3","ENSG00000132661"
"17361","ENSG00000125812.15","ENSG00000125812"
"17362","ENSG00000125814.17","ENSG00000125814"
"17363","ENSG00000125823.12","ENSG00000125823"
"17364","ENSG00000125831.9","ENSG00000125831"
"17365","ENSG00000125815.8","ENSG00000125815"
"17366","ENSG00000101435.4","ENSG00000101435"
"17367","ENSG00000173335.4","ENSG00000173335"
"17368","ENSG00000101439.8","ENSG00000101439"
"17369","ENSG00000101441.4","ENSG00000101441"
"17370","ENSG00000170373.8","ENSG00000170373"
"17371","ENSG00000170369.3","ENSG00000170369"
"17372","ENSG00000170367.4","ENSG00000170367"
"17373","ENSG00000149435.12","ENSG00000149435"
"17374","ENSG00000101463.5","ENSG00000101463"
"17375","ENSG00000077984.5","ENSG00000077984"
"17376","ENSG00000101474.11","ENSG00000101474"
"17377","ENSG00000154930.14","ENSG00000154930"
"17378","ENSG00000100987.14","ENSG00000100987"
"17379","ENSG00000197586.12","ENSG00000197586"
"17380","ENSG00000100994.11","ENSG00000100994"
"17381","ENSG00000100997.18","ENSG00000100997"
"17382","ENSG00000101003.9","ENSG00000101003"
"17383","ENSG00000101004.14","ENSG00000101004"
"17384","ENSG00000170191.4","ENSG00000170191"
"17385","ENSG00000130684.13","ENSG00000130684"
"17386","ENSG00000175170.14","ENSG00000175170"
"17387","ENSG00000215547.1","ENSG00000215547"
"17388","ENSG00000215545.1","ENSG00000215545"
"17389","ENSG00000131068.3","ENSG00000131068"
"17390","ENSG00000180483.6","ENSG00000180483"
"17391","ENSG00000204548.3","ENSG00000204548"
"17392","ENSG00000180424.6","ENSG00000180424"
"17393","ENSG00000180383.3","ENSG00000180383"
"17394","ENSG00000088320.3","ENSG00000088320"
"17395","ENSG00000101294.16","ENSG00000101294"
"17396","ENSG00000125968.8","ENSG00000125968"
"17397","ENSG00000131055.4","ENSG00000131055"
"17398","ENSG00000171552.12","ENSG00000171552"
"17399","ENSG00000088325.15","ENSG00000088325"
"17400","ENSG00000101306.10","ENSG00000101306"
"17401","ENSG00000179772.7","ENSG00000179772"
"17402","ENSG00000149599.15","ENSG00000149599"
"17403","ENSG00000131044.16","ENSG00000131044"
"17404","ENSG00000088356.5","ENSG00000088356"
"17405","ENSG00000260903.2","ENSG00000260903"
"17406","ENSG00000101331.15","ENSG00000101331"
"17407","ENSG00000101336.13","ENSG00000101336"
"17408","ENSG00000101337.15","ENSG00000101337"
"17409","ENSG00000126003.6","ENSG00000126003"
"17410","ENSG00000101346.13","ENSG00000101346"
"17411","ENSG00000101350.7","ENSG00000101350"
"17412","ENSG00000171456.16","ENSG00000171456"
"17413","ENSG00000197183.14","ENSG00000197183"
"17414","ENSG00000149600.11","ENSG00000149600"
"17415","ENSG00000088305.18","ENSG00000088305"
"17416","ENSG00000101367.8","ENSG00000101367"
"17417","ENSG00000215529.12","ENSG00000215529"
"17418","ENSG00000167098.11","ENSG00000167098"
"17419","ENSG00000078898.6","ENSG00000078898"
"17420","ENSG00000167104.11","ENSG00000167104"
"17421","ENSG00000186190.7","ENSG00000186190"
"17422","ENSG00000186191.7","ENSG00000186191"
"17423","ENSG00000131050.10","ENSG00000131050"
"17424","ENSG00000131059.11","ENSG00000131059"
"17425","ENSG00000198183.11","ENSG00000198183"
"17426","ENSG00000125999.10","ENSG00000125999"
"17427","ENSG00000101391.20","ENSG00000101391"
"17428","ENSG00000101400.5","ENSG00000101400"
"17429","ENSG00000078699.21","ENSG00000078699"
"17430","ENSG00000125967.16","ENSG00000125967"
"17431","ENSG00000149609.5","ENSG00000149609"
"17432","ENSG00000182584.4","ENSG00000182584"
"17433","ENSG00000101412.12","ENSG00000101412"
