rxnID,primarySites_ori,primarySites_wtdDist,primarySites_wtdDist_exp_decay,SecondSites_ori,SecondSites_wtdDist,SecondSites_wtdDist_exp_decay
RCC0211_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0213_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0218_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0219_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0226_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0227_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0228_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0229_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0230_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0231_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0232_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0233_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0234_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RCC0250_f,Glia,Glia,Glia,NA,NA,NA
RE00548_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RE10092_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RE10092_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM00004_f,NA,NA,Glia,NA,NA,NA
RM00081_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Pharynx,Pharynx,NA
RM00112_f,Intestine,Intestine,Intestine,Neurons,Neurons,Neurons
RM00112_r,Intestine,Intestine,Intestine,Neurons,Neurons,Neurons
RM00127_f,Intestine,Intestine,Intestine,NA,NA,NA
RM00130_f,Gonad,Gonad,Gonad,Hypodermis,NA,Intestine
RM00161_f,Gonad,Gonad,Gonad,NA,NA,Glia
RM00197_f,Hypodermis,Hypodermis,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Hypodermis
RM00199_f,Intestine,Intestine,Intestine,NA,NA,NA
RM00209_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,Gonad,Gonad
RM00216_f,Body_wall_muscle,Body_wall_muscle,NA,Intestine,Intestine,NA
RM00238_f,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine
RM00238_r,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM00239_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM00243_f,Intestine,Body_wall_muscle,NA,NA,Intestine,Intestine
RM00243_r,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle,Intestine
RM00245_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,Neurons,Neurons
RM00248_f,Intestine,Body_wall_muscle,NA,NA,Intestine,Intestine
RM00248_r,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle,Intestine
RM00258_f,NA,Gonad,Gonad,NA,Body_wall_muscle,Body_wall_muscle
RM00258_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,NA
RM00261_f,Neurons,Neurons,Neurons,NA,NA,NA
RM00267_f,Intestine,Hypodermis,Intestine,Hypodermis,Intestine,Hypodermis
RM00342_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM00342_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,Gonad
RM00344_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,NA
RM00351_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM00355_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad
RM00355_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad
RM00369_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,NA,Intestine
RM00369_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,NA,Intestine
RM00371_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM00371_r,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM00383_f,NA,NA,Intestine,NA,NA,Body_wall_muscle
RM00405_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,Intestine
RM00405_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM00410_f,Body_wall_muscle,Intestine,Body_wall_muscle,Intestine,Body_wall_muscle,Intestine
RM00410_r,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine
RM00432_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM00472_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM00479_f,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine
RM00479_r,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine
RM00489_f,Neurons,Neurons,Neurons,NA,NA,NA
RM00513_f,Gonad,Gonad,NA,NA,NA,NA
RM00533_f,Intestine,Intestine,Intestine,NA,Hypodermis,NA
RM00549_f,NA,NA,Glia,Hypodermis,Hypodermis,Gonad
RM00585_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM00667_f,Intestine,Intestine,NA,Gonad,Gonad,NA
RM00667_r,Intestine,Intestine,Intestine,Body_wall_muscle,NA,NA
RM00705_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM00706_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM00709_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,Pharynx,NA
RM00710_f,Intestine,Intestine,Intestine,Gonad,NA,NA
RM00711_f,Intestine,Intestine,Intestine,NA,NA,NA
RM00713_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,Neurons,Neurons
RM00716_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM00734_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad
RM00734_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad
RM00751_f,Intestine,Intestine,Intestine,Glia,Glia,Glia
RM00751_r,Intestine,Intestine,Intestine,Glia,Glia,Glia
RM00781_f,Hypodermis,Hypodermis,Hypodermis,Glia,Glia,NA
RM00833_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,Neurons
RM00833_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM00842_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM00908_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,Neurons
RM00908_r,NA,NA,Intestine,NA,NA,Hypodermis
RM00927_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM00935_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM00943_f,Hypodermis,Hypodermis,Intestine,Intestine,Intestine,Hypodermis
RM00943_r,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM00945_f,Gonad,Gonad,NA,Intestine,Intestine,NA
RM00945_r,Gonad,Gonad,NA,Intestine,Intestine,NA
RM01025_f,Gonad,Gonad,Gonad,Intestine,Intestine,NA
RM01082_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Neurons,Neurons,NA
RM01082_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,Neurons,NA
RM01090_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM01090_r,Intestine,Intestine,Intestine,NA,Body_wall_muscle,NA
RM01175_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM01177_f,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM01214_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM01214_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM01220_f,Hypodermis,Hypodermis,Hypodermis,Intestine,Intestine,Intestine
RM01220_r,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis,Intestine
RM01248_f,NA,Intestine,Body_wall_muscle,NA,Gonad,NA
RM01251_f,NA,Intestine,Body_wall_muscle,NA,Gonad,NA
RM01253_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Neurons,Neurons,Neurons
RM01278_f,Intestine,Intestine,Intestine,Gonad,Gonad,NA
RM01282_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,NA
RM01301_f,NA,NA,Gonad,NA,NA,Glia
RM01360_f,Intestine,Intestine,Gonad,NA,NA,Intestine
RM01393_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM01465_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM01465_r,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM01608_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM01616_f,NA,NA,Gonad,NA,NA,Glia
RM01648_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Neurons,Neurons,Neurons
RM01655_f,Hypodermis,Hypodermis,Hypodermis,Intestine,Intestine,Intestine
RM01655_r,Intestine,Hypodermis,Hypodermis,Hypodermis,Intestine,Intestine
RM01736_f,Gonad,Gonad,Gonad,Neurons,Neurons,NA
RM01859_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Neurons,Neurons,NA
RM01868_f,NA,Intestine,Body_wall_muscle,NA,Body_wall_muscle,NA
RM01875_r,NA,NA,Neurons,NA,NA,NA
RM01923_f,Intestine,Intestine,Intestine,NA,NA,NA
RM01931_f,Hypodermis,Hypodermis,Hypodermis,Gonad,Gonad,Gonad
RM01939_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM01975_r,Intestine,Intestine,Intestine,NA,NA,Body_wall_muscle
RM02016_f,NA,Pharynx,NA,NA,NA,NA
RM02050_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM02050_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,NA,Intestine
RM02055_f,Glia,Glia,Glia,NA,Pharynx,NA
RM02085_f,Body_wall_muscle,Intestine,Body_wall_muscle,Intestine,Body_wall_muscle,Intestine
RM02161_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM02164_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM02199_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM02199_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM02300_f,Gonad,Gonad,Gonad,Hypodermis,Hypodermis,Hypodermis
RM02301_f,Gonad,Gonad,Gonad,Hypodermis,Hypodermis,Hypodermis
RM02313_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM02396_f,Intestine,Intestine,Intestine,NA,NA,NA
RM02433_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM02480_f,NA,NA,Intestine,NA,NA,Glia
RM02488_f,Intestine,Intestine,Intestine,NA,Hypodermis,NA
RM02529_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM02530_f,Gonad,Gonad,Gonad,NA,NA,NA
RM02565_f,Gonad,Gonad,Gonad,Hypodermis,Hypodermis,NA
RM02566_f,Gonad,Gonad,Gonad,Hypodermis,Hypodermis,NA
RM02619_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM02661_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM02678_f,Hypodermis,Hypodermis,Pharynx,Pharynx,Pharynx,Hypodermis
RM02765_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM02765_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM03026_r,Intestine,Intestine,Intestine,NA,NA,Body_wall_muscle
RM03035_f,Gonad,Gonad,NA,NA,Intestine,NA
RM03045_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM03102_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM03103_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM03158_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM03172_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM03225_f,Intestine,Intestine,Intestine,Body_wall_muscle,NA,NA
RM03225_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM03291_f,Gonad,Gonad,Gonad,Intestine,Intestine,Intestine
RM03291_r,Gonad,Gonad,Gonad,Intestine,Intestine,Intestine
RM03293_f,Gonad,Gonad,Gonad,Intestine,Intestine,Intestine
RM03293_r,Gonad,Gonad,Gonad,Intestine,Intestine,Intestine
RM03313_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM03336_f,NA,NA,Gonad,NA,NA,Glia
RM03425_f,Intestine,Intestine,Intestine,Hypodermis,NA,Hypodermis
RM03425_r,Intestine,Intestine,Intestine,Hypodermis,NA,Hypodermis
RM03451_f,Intestine,Intestine,Intestine,NA,NA,NA
RM03524_f,Hypodermis,Hypodermis,Hypodermis,Intestine,Intestine,Intestine
RM03534_f,Intestine,Intestine,Intestine,NA,NA,NA
RM03534_r,Intestine,Intestine,Intestine,NA,NA,NA
RM03758_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM03776_f,Intestine,Intestine,Intestine,NA,NA,Body_wall_muscle
RM03777_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM03778_f,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM03815_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM03815_r,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM03856_f,Intestine,Intestine,Intestine,NA,NA,Body_wall_muscle
RM03857_f,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM03858_f,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM03989_f,Intestine,Intestine,Intestine,Gonad,Gonad,NA
RM03990_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,NA
RM03991_f,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM04096_f,Body_wall_muscle,Intestine,NA,Intestine,Body_wall_muscle,NA
RM04125_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM04125_r,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM04138_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM04170_r,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM04188_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
RM04203_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04204_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04224_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04432_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RM04433_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,Gonad
RM04737_r,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM04738_r,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM04739_r,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM04740_r,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM04741_r,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM04742_f,Body_wall_muscle,Intestine,Intestine,NA,Body_wall_muscle,Body_wall_muscle
RM04743_r,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM04744_r,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM04745_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04746_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04747_f,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM04748_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04749_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04751_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM04753_f,Intestine,Intestine,Intestine,NA,NA,Body_wall_muscle
RM04754_f,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RM04807_f,Glia,Glia,Glia,Hypodermis,Hypodermis,Hypodermis
RM05051_f,Body_wall_muscle,Body_wall_muscle,NA,NA,NA,NA
RM05052_f,Body_wall_muscle,Body_wall_muscle,Gonad,NA,Gonad,Body_wall_muscle
RM05064_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM05066_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RM05373_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,NA
RM06985_f,Intestine,Intestine,Intestine,NA,NA,Body_wall_muscle
RM07136_r,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RM07273_f,NA,Intestine,Gonad,NA,NA,Intestine
RM07411_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,NA
RM07412_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,NA
RM08657_f,NA,NA,Body_wall_muscle,NA,NA,NA
RM08759_f,Glia,Glia,Glia,Hypodermis,Hypodermis,Hypodermis
RM08761_f,Glia,Glia,Glia,Hypodermis,Hypodermis,Hypodermis
RM08766_f,NA,NA,Gonad,NA,NA,Glia
RM08767_f,NA,NA,Gonad,NA,NA,Glia
RM08770_f,NA,NA,Gonad,NA,NA,Intestine
RM08771_f,NA,NA,Gonad,NA,NA,NA
RM08772_f,NA,NA,Gonad,NA,NA,NA
RM08773_f,NA,NA,Gonad,NA,NA,NA
RM08774_f,NA,NA,Gonad,NA,NA,NA
RM08775_f,NA,NA,Gonad,NA,NA,Hypodermis
RM08781_f,NA,NA,Gonad,NA,NA,Hypodermis
RM10092_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,NA
RM10151_f,Body_wall_muscle,NA,Body_wall_muscle,NA,NA,NA
RMC0001_f,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine
RMC0001_r,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine
RMC0006_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad
RMC0007_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad
RMC0008_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad
RMC0009_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RMC0011_f,Body_wall_muscle,Body_wall_muscle,NA,Intestine,Intestine,NA
RMC0012_f,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle
RMC0013_f,Body_wall_muscle,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle
RMC0014_f,Intestine,Intestine,Intestine,NA,Hypodermis,NA
RMC0015_f,Intestine,Intestine,Intestine,Gonad,Gonad,Gonad
RMC0015_r,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,Neurons,Neurons
RMC0016_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,NA,NA,Glia
RMC0023_f,Body_wall_muscle,Gonad,Gonad,Gonad,NA,Intestine
RMC0024_f,Body_wall_muscle,Gonad,Gonad,Gonad,NA,Intestine
RMC0026_f,NA,NA,Gonad,NA,Hypodermis,NA
RMC0028_f,NA,Hypodermis,Gonad,NA,Glia,Hypodermis
RMC0054_f,Hypodermis,NA,Hypodermis,NA,NA,NA
RMC0058_f,Intestine,Intestine,Intestine,NA,NA,Body_wall_muscle
RMC0074_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
RMC0075_f,NA,Pharynx,NA,NA,NA,NA
RMC0077_f,Body_wall_muscle,Hypodermis,Hypodermis,Hypodermis,NA,NA
RMC0087_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,NA
RMC0088_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RMC0089_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RMC0090_f,Intestine,Intestine,Intestine,Body_wall_muscle,NA,NA
RMC0099_f,Intestine,Intestine,Intestine,NA,NA,NA
RMC0100_f,Intestine,Intestine,Intestine,NA,NA,NA
RMC0103_f,Intestine,Intestine,NA,NA,NA,NA
RMC0104_f,Intestine,NA,NA,Body_wall_muscle,NA,NA
RMC0106_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RMC0107_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RMC0108_f,Intestine,Intestine,Intestine,Body_wall_muscle,NA,NA
RMC0109_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
RMC0115_f,Intestine,Intestine,Intestine,NA,NA,NA
RMC0116_f,Intestine,Intestine,Intestine,NA,NA,NA
RMC0117_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,NA
RMC0118_f,Intestine,Intestine,Intestine,NA,NA,NA
RMC0119_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RMC0120_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
RMC0121_f,Intestine,Intestine,NA,NA,NA,NA
RMC0122_f,Intestine,Intestine,NA,NA,NA,NA
RMC0126_f,NA,Intestine,Intestine,NA,NA,NA
RMC0132_f,Body_wall_muscle,NA,Intestine,NA,NA,Gonad
RMC0133_f,Body_wall_muscle,Body_wall_muscle,NA,Intestine,Intestine,Intestine
RMC0154_f,Intestine,Intestine,Intestine,NA,NA,NA
RMC0155_f,Body_wall_muscle,Body_wall_muscle,NA,Pharynx,Pharynx,NA
RMC0182_f,NA,NA,Gonad,NA,NA,NA
RMC0184_f,Body_wall_muscle,NA,NA,Gonad,NA,NA
RMC0187_f,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,Gonad,Body_wall_muscle
RNA[c]_f,Gonad,Gonad,Gonad,NA,NA,NA
SNK0012_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Gonad,Gonad,NA
SNK0013_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
SNK0016_f,NA,Intestine,Intestine,NA,NA,NA
SNK0028_f,Intestine,NA,NA,NA,NA,NA
SNK0029_f,Intestine,Intestine,Intestine,NA,NA,NA
SNK0036_f,NA,NA,NA,NA,NA,Neurons
SNK0045_f,NA,NA,Pharynx,NA,NA,NA
SNK0056_f,NA,NA,NA,NA,NA,Gonad
SNK0074_f,NA,Body_wall_muscle,Body_wall_muscle,NA,Intestine,Gonad
SNK0102_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
SNK1003_f,NA,Hypodermis,NA,NA,NA,NA
TCE0329_f,NA,NA,Intestine,NA,NA,Body_wall_muscle
TCE0329_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Hypodermis
TCE0332_f,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
TCE0333_f,Glia,Intestine,Glia,Intestine,Glia,Intestine
TCE0333_r,Glia,Intestine,Intestine,Intestine,Glia,Glia
TCE0338_r,Body_wall_muscle,NA,Body_wall_muscle,NA,NA,NA
TCE0342_f,Neurons,Neurons,NA,Body_wall_muscle,Body_wall_muscle,NA
TCE0346_f,NA,Glia,Glia,NA,NA,NA
TCE0352_r,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,NA
TCE0360_f,Intestine,Intestine,Intestine,NA,NA,NA
TCE0360_r,Intestine,Intestine,Intestine,Hypodermis,NA,NA
TCE0368_f,NA,NA,Neurons,NA,NA,NA
TCE0370_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Neurons,Neurons,Neurons
TCE0374_f,Intestine,NA,Intestine,Gonad,NA,NA
TCE0376_r,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
TCE0382_f,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle,Intestine,Intestine,Intestine
TCE0382_r,Intestine,Intestine,Intestine,Body_wall_muscle,Body_wall_muscle,Body_wall_muscle
TCE0389_f,Hypodermis,Hypodermis,Gonad,Glia,Glia,NA
TCE0389_r,NA,NA,Neurons,NA,NA,Glia
TCE0392_f,Intestine,Intestine,Intestine,NA,NA,NA
TCE0417_f,Glia,Glia,Glia,Pharynx,Pharynx,Pharynx
TCE0417_r,Neurons,Neurons,Neurons,Pharynx,Pharynx,NA
TCE0424_f,Intestine,Intestine,NA,Glia,Glia,NA
TCE0424_r,NA,NA,Intestine,NA,NA,NA
TCE0430_f,NA,NA,Gonad,NA,NA,NA
TCE0437_f,Intestine,Intestine,Intestine,Hypodermis,Hypodermis,Hypodermis
TCE0440_r,Hypodermis,Hypodermis,Hypodermis,Intestine,Intestine,Intestine
TCE0441_f,Intestine,Intestine,Glia,Glia,Glia,Intestine
TCE0441_r,Gonad,NA,NA,Neurons,NA,NA
TCE0450_f,NA,NA,Gonad,Neurons,Neurons,Neurons
TCE0450_r,NA,NA,Gonad,NA,NA,NA
TCE0453_f,NA,NA,Neurons,Body_wall_muscle,NA,Gonad
TCE0453_r,NA,NA,Intestine,NA,NA,Neurons
TCE0457_f,Neurons,NA,NA,Body_wall_muscle,NA,NA
TCE0464_r,Neurons,Neurons,Neurons,Gonad,Gonad,Gonad
TCE0474_r,Intestine,Intestine,NA,Hypodermis,Hypodermis,NA
TCE0482_f,Intestine,Intestine,Intestine,Gonad,Gonad,Gonad
TCE0482_r,Glia,Glia,Glia,NA,Intestine,NA
TCE0487_f,Hypodermis,Hypodermis,Hypodermis,NA,NA,NA
