Row,AdrenalGland,ArteryAorta,ArteryCoronary,ArteryTibial,BrainCerebellum,BrainCortex,Breast,ColonSigmoid,ColonTransverse,GEJunction,EsophagusMucosa,EsophagusMuscle,HeartAtrial,HeartVentricle,Liver,Lung,MinorSalivary,MuscleSkeletal,NerveTibial,Ovary,Pancreas,Pituitary,Prostate,SkinUnexpo,SkinSunExpo,SmallIntestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
"(+)-alpha-pinene",0,0,0,0,0,0,0,0,0,0,0.0165906939474438,0,0,0,1,0,0.0198732602683819,0,0,0,0,0,0,0.0199025862007142,0,0,0,0.0178887503679089,0,0,0,0
"(-)-trans-carveol",0,0,0,0,0,0,0,0,0,0,0.0165407419076583,0,0,0,1,0,0.0198136240516481,0,0,0,0,0,0,0.019842863763549,0,0,0,0.017834960958357,0,0,0,0
"(10Z)-heptadecenoic acid",0.268549805272305,6.34561568846337e-08,0.0929804041659139,8.26940284341382e-05,0.307120740473186,0.369734984690805,0.216695258446577,0.0377737871612945,0.0534751661336857,0.0184229086082797,0.106169962158581,0.0339931605892275,0.357330459457982,0.634093906458587,0.702493032122258,0.0645289454711447,0.177389625355082,0.435959461011299,0.143457553084008,-6.44019886753e-07,0.097469303217996,0.0221862825938687,0.0228398179760823,0.017383035587167,0.00796716754823978,0.193183793352135,0.0579810157901662,0.0260076894519334,0.000292037475782686,0.00556013080496241,1.17820106249056e-06,0.0201763775636966
"(10Z)-heptadecenoyl-CoA",0.482115235912281,0.427424893943425,0.165904561344331,0.0264609536337588,0.338789912174993,0.241865761329447,0.0825187020207552,0.389568717846133,0.15971570237385,0.0486372420585732,0.0576353357762985,0.0871661408072723,0.607640864614818,0.693112176230718,0.787070478064708,0.242757758395669,0.328362049453251,0.467238449370526,0.373411447821421,1.30095108102496e-05,0.0957039721425696,0.02141615090346,0.044871565065057,0.0156978488778412,0.00109226932047685,0.351284317791302,0.358458457649397,0.0778351657786741,0.0140664318185332,0.0656713251719656,0.00100433792711562,0.000866891653449995
"(11R)-HPETE",0.00473525520256786,0.0339679316105983,2.66112166382587e-05,-2.22044604925031e-16,5.08542341515206e-07,3.03698495454641e-06,0.000782732379436282,0.0115928879174446,0.0245430627042561,-2.22044604925031e-16,0.374134741036361,0.0389231446346102,0.0200446057039638,0.0325650645819157,0.101089389514915,0.00304984857402509,0.00127466361002407,0.157359931295747,0,0,0,3.03355685377094e-07,2.19077243315824e-06,0.120329828232885,0.00506371385396014,0.0434065704257054,0.572821146628656,0.0169392881963173,7.06241574829902e-06,0,0,0.880808024598284
"(11Z)-docosenoyl-CoA",0.482115235912281,0.427424893943425,0.0501527240962651,0.0264609536337588,0.338787212444598,0.241865761329447,0.0484242077596823,0.389568717846133,0.15971570237385,0.0509879867905959,0.0149661728765262,0.0871534788946476,0.607640864614818,0.711246078450842,0.787070478064708,0.242757758395669,0.0983755406444498,0.462479324433723,0.373411447821421,0.000543666799245605,0.0957883394085351,0.0213044305095471,0.044871565065057,0.0405002480626314,0.00047613866776664,0.351259632625108,0.358458457649397,0.0778351657786741,0.0603279674726568,0.0656713251719656,2.20849613102522e-05,2.23230962025367e-05
"(11Z)-eicosenoyl-CoA",0.482115235912281,0.427424893943425,0.0194446774750132,0.0264609536337588,0.345506102370481,0.241865761329447,0.0124138122333788,0.389568717846133,0.15971570237385,0.0514623088182259,0.0079450680631033,0.0879428012097336,0.607640864614818,0.622918592779141,0.787070478064708,0.242757758395669,0.0833465185069622,0.462479324433723,0.373411447821421,1.60639156243881e-05,0.0968102807668361,0.0217736795759732,0.044871565065057,0.0347427999051493,0.0107851486266781,0.358585107930218,0.358458457649397,0.0778351657786741,0.0864059208161836,0.0656713251719656,9.8322947019603e-06,0.00301655924310287
"(11Z,14Z)-eicosadienoic acid",0.268549805272305,0.00287570901753614,0.0917368788612552,2.84272097206412e-05,0.229339792049478,0.293436808450741,0.216695258446577,0.0489517649589363,0.191780351951944,0.0319881069509933,0.106169962158581,0.0540756010225974,0.454457068564835,0.673119925685068,0.762441363697562,0.159140946096123,0.171566483959953,0.417856631723046,0.102516018320113,-6.44019886753e-07,0.097470436322936,0.0471664615525937,0.0228398179760823,0.0636447663348705,0.0101214342331611,0.558511320964766,0.0579807828988802,0.0710973882275489,0.00628675061250286,0.00555771853706959,1.17820106249056e-06,0.0201763775636966
"(11Z,14Z)-eicosadienoyl-CoA",0.482115235912281,0.427424893943425,0.0437094830148869,0.0264609536337588,0.108006346748161,0.241865761329447,0.0455820207610441,0.389568717846133,0.15971570237385,0.029433070702272,0.042218025003133,0.0587541658663378,0.607640864614818,0.702555976796983,0.787070478064708,0.242757758395669,0.100581269245059,0.462479324433723,0.373411447821421,0.000201858439605988,0.120502910987241,0.0216224775507741,0.044871565065057,0.0371383880824973,0,0.42395255410588,0.358458457649397,0.0778351657786741,0.117343977325668,0.0656713251719656,7.05874651625582e-06,0
"(11Z,14Z,17Z)-eicosatrienoic acid",0.268549805272305,0.00173295055464714,0.0830982740161029,-2.7719744943866e-07,0.228056399109288,0.292976551217579,0.216695258446577,0.0490339358169783,0.107444719081157,0.0323264902173248,0.106169962158581,0.0541444247178217,0.360914727123711,0.608837140100331,0.538434770154808,0.0998144549150878,0.1037335021242,0.342094393312092,0.103406297745495,-6.44019886753e-07,0.0974684445995586,0.0451923644695023,0.0228398179760823,0.0418253035905644,0.00970025225848045,0.238162518592464,0.0579798405940558,0.0587009386570551,0.00503513668438171,0.00555878880660873,1.17820106249056e-06,0.0201763775636966
"(11Z,14Z,17Z)-eicosatrienoyl-CoA",0.482115235912281,0.427424893943425,0.0526943095610815,0.0264609536337588,0.338883061717156,0.241865761329447,0.0508906929254057,0.389568717846133,0.15971570237385,0.0510320139646536,0.0134567821193586,0.0871037055597306,0.607640864614818,0.714291653044452,0.787070478064708,0.242757758395669,0.100479979505322,0.462479324433723,0.373411447821421,0,0.0957961759209825,0.0214083865806557,0.044871565065057,0.0418253035905644,1.2898696676711e-05,0.351257351121435,0.358458457649397,0.0778351657786741,0.0676840892863471,0.0656713251719656,6.37549234825882e-06,0.000169692533333037
"(11Z,14Z,17Z)-eicosatrienoylcarnitine",0.0462326468229711,0.00112128195270178,0.00053681896396875,0.000534686037223128,0.00428342039163528,0.0355109197077854,0.000515406639413248,0.000106155428625645,0.0425976390777831,0.0131936739327557,0.00056029586774065,0.0537281284838038,0.481831929425925,0.746989536260718,0.384922240093821,0.00970816785401918,0.0874102389255533,0.511020785481006,0.000571753965988565,-4.90117371756789e-05,0.0480198517020086,0.00498714126860876,0.00107087806098648,-0.00139674449617677,5.86492220198027e-05,0.0305571788265067,-0.00132943349843312,0.0586649414622374,0.0110128064846879,6.79114378570453e-05,8.60045043626833e-05,0.000169692533333037
"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate",0.0219489815378738,0.0860459120371646,2.66112166382587e-05,0.069440265973708,-0.0212177203588219,0.107259067503373,0.000782732379436282,0.0237227033521351,0.0245430627042561,0.0194532094554806,0.0252690624251205,0.000402793931084347,0.0262159514212954,0.0485922571584044,0.676570336495836,0.0255534454038382,0.0581537244214909,0.000248208999744592,0.185287173102199,-0.0303399363340228,0.000753167169699864,-0.000936364366702302,0.0163826537852765,0.00553894098721651,0.0135060763146667,0.0899276969854524,-0.0113031236671124,0.0169392881963173,-0.00216231940133385,0.0436735238811071,0.00175851097483082,0.0122204435423388
"(13E)-tetranor-16-carboxy-LTE4",0.00552500902467974,0,0.000498566701575633,0,0,0.00229167777775037,0.00100125722274311,0,0.0259627100969017,0,0.0127336819597472,0.000402793931084347,0.0205023926830051,0.0648785080089383,0.628883822465653,0.00304984857402509,0.00458540678717976,0.000248208999744592,0,0,0,0,4.82351472312209e-05,0.00553894098721651,0,0.0434065704257054,0,0.0169392881963173,0.00645759486115332,0,0,0.00641793958432235
"(13E)-tetranor-16-oxo-16-CoA-LTE4",0.048220730720265,-0.00628979512465306,0.000537964457569096,-0.000235055173606391,0.522385862715477,0.738101614716971,0.00105108184601071,0.156126010008292,0.0333457659681318,0.118611739171411,0.0425137316095313,0.166339184129009,0.530035801627026,0.735259953946887,0.640270640354968,0.00208865966254375,0.00461289243601321,0.381263075245425,0.261935589140122,-0.0125396338557725,-0.000187072912529299,0.157209179301968,0.000235055173606336,0.00115537685849541,-0.00045715530020533,0.0407120697051841,-0.0016563750743565,0.011843394684618,0.0312475019275241,-0.000333513500447781,-0.00885075613813191,0.000123421269543088
"(13Z)-docosenoyl-CoA",0.482115235912281,0.427424893943425,0.049885019130667,0.0264609536337588,0.333917575517134,0.241865761329447,0.0481067511598071,0.389568717846133,0.15971570237385,0.0463594365482044,0.00853124384258735,0.082466561061476,0.607640864614818,0.622918592779141,0.787070478064708,0.242757758395669,0.0905434212594287,0.462479324433723,0.373411447821421,0,0.0970530924958143,0.0217383835228039,0.044871565065057,0.0340757604804956,0.0134512149560474,0.346570138027875,0.358458457649397,0.0778351657786741,0.0892604211440433,0.0656713251719656,0,0.00308950440194342
"(13Z)-eicosenoic acid",0.268549805272305,6.34561568846337e-08,0.0792471127963217,-2.7719744943866e-07,0.234510662389154,0.294764706029266,0.216695258446577,0.0488683613470258,0.0945684398187088,0.0321398560107791,0.106169962158581,0.0539288676347208,0.357366386819744,0.605221918874195,0.538440788216926,0.0893134087715788,0.102726857609497,0.280367985227508,0.103575982497918,-6.44019886753e-07,0.0974683860200728,0.0443658622797017,0.0228398179760823,0.0407190189168763,0.00796716754823978,0.213990269080364,0.0579778923405468,0.0573108654730983,0.00618863426349262,0.00555747847722791,1.17820106249056e-06,0.0201763775636966
"(13Z)-eicosenoyl-CoA",0.482115235912281,0.427424893943425,0.0398670554593861,0.0264609536337588,0.338882440703677,0.241865761329447,0.0381300135385639,0.389568717846133,0.15971570237385,0.0510527369418136,0.0491945774870474,0.0871560581612237,0.607640864614818,0.622918592779141,0.787070478064708,0.242757758395669,0.10746446446808,0.462479324433723,0.373411447821421,0.000315725725688531,0.095782115268985,0.0214067648655379,0.044871565065057,0.0407190189168763,0.00263944690350537,0.351378916751897,0.358458457649397,0.0778351657786741,0.0674357580627495,0.0656713251719656,0.000124708066714713,0.00319227247799753
"(13Z)-octadecenoic acid",0.268549805272305,0.00517128582793158,0.0928693927015473,0.000118971620171153,0.36710476612326,0.425005900704676,0.216695258446577,0.0419322583375445,0.153529361954588,0.0231395391754569,0.106169962158581,0.0451114867153068,0.496505143818639,0.747055108390893,0.822631043845415,0.125956032994261,0.176004969588589,0.415549123437767,0.147872646277446,-6.44019886753e-07,0.0974808514725895,0.0221849730691189,0.0228398179760823,0.0501779243586916,0.0113123299578754,0.533269216295123,0.0579861501061102,0.055846139029476,0.00194091607349406,0.00555981380559869,1.17820106249056e-06,0.0201763775636966
"(13Z)-octadecenoyl-CoA",0.55756611634231,0.427424893943425,0.430796247951154,0.0264609536337588,0.338521332171787,0.241865761329447,0.195203981343989,0.389568717846133,0.15971570237385,0.0510512881651767,0.280633779549292,0.0871280805730061,0.648369098058727,0.858912366044972,0.787070478064708,0.242757758395669,0.749581607602857,0.476049475909488,0.373411447821421,0.00190822244637567,0.0957482703733408,0.0213308741297158,0.044871565065057,0.0208081837333605,0.0220671229858376,0.351116765515857,0.358458457649397,0.118047023904505,0.0912875406853043,0.0656713251719656,0.000520407564188996,0.000861097803455169
"(13Z,16Z)-docosadienoic acid",0.268549805272305,6.34561568846337e-08,0.0792471127963217,-2.7719744943866e-07,0.220353774933344,0.27595152311408,0.216695258446577,0.0480743818146577,0.0927940861409293,0.031990566058641,0.106169962158581,0.0530893130298695,0.355285135621415,0.639196498255335,0.538444053031795,0.0882392842894915,0.098211754139322,0.424117811964035,0.102285473110216,-6.44019886753e-07,0.097468155252193,0.0426911966433849,0.0228398179760823,0.0408349810070225,0.00796716754823978,0.21049700933663,0.0579782156593302,0.0587392444966342,0.00752510361633152,0.00555731952468958,1.17820106249056e-06,0.0201763775636966
