Metabolite,Model_Metabolite_ID,Conversion_to_Absolute,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
"alpha-D-ribose 1-phosphate(2-)","alpha-D-ribose 1-phosphate(2-) [cytoplasm]",7.88295971420859e-06,-0.176735026490387,1.63070397140853,2.50430805780039,3.90334069392692,4.3911017825548,3.05504746720293,3.55333154272797,3.85420089504245,4.11376004508922,4.52740946044975,3.3339025736864,3.42532901592575,3.92878064477192,4.42937630767089,4.39368927316775,3.10276407504257,3.61263479582818,3.90883798786703,4.32186804004342,4.72110757164176,2.4830583120344,2.8397803236944,3.50403727660574,3.94932213330411,4.1521108399717
"alpha,alpha-trehalose 6-phosphate","alpha,alpha-trehalose 6-phosphate [cytoplasm]",NaN,0.0867773257316328,-0.207932141796184,-0.199490634207637,-0.022704712467897,-0.0783883629238146,-0.609204745096796,-0.757904593443481,-0.880294999080999,-0.66683321379661,-1.07223060600242,1.54038897496788,1.02802388406743,1.04889541195234,0.789745565324038,0.538572247747823,1.88118317532854,1.81532277932987,1.21382023349935,0.793380709228509,0.675929589261917,1.04529882236251,0.597537576042554,0.556323730297618,0.272100609353116,-0.00975099991255393
"AMP","AMP [cytoplasm]",1.49883457589102e-05,0.0592437862401291,-0.0920462278755257,-0.221613444968985,-0.537429213008642,-0.820293229010765,0.401123828413505,0.158512788604279,0.0304572734790564,0.0416405221761882,-0.795008539871889,-0.0459772387868453,-0.496955125327895,-0.308767058708732,-0.433996448081474,-0.575187334214315,0.443735656699436,0.184781245619086,-0.115231576344173,-0.380091560712624,-0.617375341099174,-0.0206128181431604,-0.334572004874236,-0.418703582719997,-0.643957118023044,-0.794788432126588
"ATP","ATP [cytoplasm]",0.000183361590816802,-0.10919646803238,0.528590970180596,0.872684843103452,1.33822892951753,1.48256713801924,2.42649234709086,2.490793783792,2.5269316230921,2.47294920609811,2.28299919412927,1.25743606027707,1.48829594845875,1.43296026134274,1.44854365472228,1.41053013835626,1.66013353205764,1.85767109012412,2.13359788376317,2.31466944739756,2.39827608035899,0.983379033308092,0.99138212186768,1.31278102150797,1.38133049541165,1.42487623082607
"carbamoyl phosphate","carbamoyl phosphate [cytoplasm]",NaN,-0.00256908102917489,-0.0177442210335676,-0.0321463731238928,-0.0442308797633932,-0.037846631068205,0.0877851078209142,0.0720464549717941,0.0807000307402111,0.0799599598433661,0.127639384748958,-0.0110790372905586,-0.0336287420198257,0.0403444182328437,0.109234950663964,0.164714963794442,-0.0105512666281428,0.00447581458054392,0.0164680739699247,0.0296583447889148,0.020419449917309,0.199939015812484,0.23153687022143,0.228610306757157,0.247197202115487,0.254135662945613
"CDP","CDP [cytoplasm]",NaN,0.00335546660085714,-0.256319568944248,-0.229965479508075,-0.030186612981759,0.152709227153181,0.313752549183277,0.108256975682305,-0.00857995543264469,0.165313898994996,0.0842289169170536,0.475357181211518,0.171275421915726,0.166719258180779,0.34853024268895,0.498703722019347,0.320325400531824,0.610524468979495,0.885162297040845,0.984244084440092,1.08763940525462,-0.185574464713609,-0.17528331954444,-0.209626124558987,-0.117463485598406,0.0292969267858179
"choline","choline [cytoplasm]",NaN,0.285037910687096,-1.52549478181364,-2.34496339105853,-3.36496613409569,-4.1570490947753,-4.71272211148153,-5.61453451951549,-6.01649991963721,-5.4430622924835,-6.45781779806155,-3.01829615705513,-4.12564228080946,-3.81252584553826,-3.51925091296588,-3.57486927810386,-0.255455256405521,-0.617843547008602,-1.50451286526551,-2.43636253789655,-3.26116270225771,-0.754239470578549,-1.6926888281778,-2.4229102488504,-3.13300532475167,-3.67003339856102
"citrate","citrate [cytoplasm]",0.007371821,0.248173564275299,0.334923990148574,0.372946671515677,0.317880771135484,0.0609374679011568,-2.73685672741341,-2.56738682162916,-2.77404147587871,-2.50525452452627,-3.81709692501696,1.00465760046952,0.139458627213399,-0.360595701255744,-1.27112088921146,-2.32147427655894,-0.358183825494235,-0.943231312978001,-1.6519315682151,-2.2142374823222,-2.12402989497641,-5.74742037535594,-6.31235897303901,-6.42158450469943,-6.44059086363622,-6.21574154753102
"CTP","CTP [cytoplasm]",2.12816632543596e-05,-0.0889119271794437,0.39927210106861,0.727422737891302,1.27476950285579,1.49148107049403,2.73826661833644,2.80724650670932,2.84381924290304,2.6894414573711,2.70992278465715,1.87664364400916,2.29263431324955,2.04759765429673,2.11593099487501,2.06552279827395,2.36224674541955,2.58351413877754,2.93030062388679,3.03798847377926,3.07391203686907,-0.440607219020431,-0.459529673084854,0.0207860402048404,0.342094374908918,0.669512786170255
"cytidine","cytidine [cytoplasm]",NaN,0.1830963252089,-1.17106897356426,-2.03749151753222,-3.32236523583142,-4.12928561641513,-6.56049436348125,-6.91016041320618,-7.00507546554761,-6.7736032414459,-6.45225142389637,-7.1264551661394,-6.51832378218985,-6.96738006405537,-6.29565684092204,-6.26147801677739,-4.00103794303015,-4.34793307877428,-4.20716659469864,-4.57465315866769,-5.28785664061012,-6.11943570131147,-6.40710430584407,-6.98498212213612,-7.02707437669232,-6.86604973432558
"cytosine","cytosine [cytoplasm]",NaN,0.162829281860197,-1.3219976363753,-2.21329692410136,-3.51741677189938,-4.00143444058353,-4.13111177047888,-4.43895421732558,-4.49902242609422,-4.65279650602976,-4.0515826065006,-4.92565366151401,-4.51869411853962,-4.72521681191441,-4.21557739137225,-3.8931091595502,-3.84692846547089,-4.19329219409883,-4.0290395139688,-4.25032624123705,-4.75277353124043,-4.93040815930255,-4.88127920909617,-5.35328167978816,-5.13609594580624,-4.76039532583827
"D-erythrose 4-phosphate","D-erythrose 4-phosphate [cytoplasm]",NaN,0.0417990617323289,-0.556652257312074,-0.668356371094617,-0.7540842053054,-0.894968859891593,0.758610985532114,0.199379401901522,-0.100189112287207,0.0895108254078636,-0.887590459373914,0.286254578074764,-0.275997420907601,-0.309659144314124,-0.337961209527958,-0.348331264984356,1.48173747639166,1.57782230895983,1.53459419352535,1.29327157870022,1.05676307603402,0.520201784819848,0.0255078850185388,-0.0906435894335518,-0.415427722399176,-0.598038848764556
"D-fructose 1-phosphate","D-fructose 1-phosphate [cytoplasm]",NaN,-0.174485816864564,1.05585281523452,1.63950070882611,2.45019697254319,2.76356455212649,2.44056668559747,3.07629042710358,3.38142032682114,3.03285001557032,3.75947310431647,2.15516372197414,3.30310240637184,2.85651032133151,2.58157762245846,2.34125307144021,2.13999598995047,2.258402145124,2.42508319276423,2.66685746425159,2.90012118224885,0.897802617807717,1.10146663242863,1.74946685045196,2.02379482660979,2.13893560483007
"D-fructose 1,6-bisphosphate","D-fructose 1,6-bisphosphate [cytoplasm]",1.94562543285719e-05,-0.248382263578103,1.61051514512329,2.76840535991939,5.00040099363333,5.89878014905028,1.80148035240538,2.87839404362979,3.45200459005985,3.52289172655193,5.76616366825128,5.1386331709203,6.69689027056068,6.25813709314058,6.45169617188392,6.23599220045671,5.53125566243635,6.30646076294095,6.37989945239726,6.67659281829242,7.19386078104667,3.36223878987904,3.70249516766817,4.79870638162574,5.39819663169669,5.55421198043597
"D-fructose 6-phosphate","D-fructose 6-phosphate [cytoplasm]",NaN,-0.174485816864564,1.05585281523452,1.63950070882611,2.45019697254319,2.76356455212649,2.44056668559747,3.07629042710358,3.38142032682114,3.03285001557032,3.75947310431647,2.15516372197414,3.30310240637184,2.85651032133151,2.58157762245846,2.34125307144021,2.13999598995047,2.258402145124,2.42508319276423,2.66685746425159,2.90012118224885,0.897802617807717,1.10146663242863,1.74946685045196,2.02379482660979,2.13893560483007
"D-glucose 1-phosphate","D-glucose 1-phosphate [cytoplasm]",NaN,-0.174485816864564,1.05585281523452,1.63950070882611,2.45019697254319,2.76356455212649,2.44056668559747,3.07629042710358,3.38142032682114,3.03285001557032,3.75947310431647,2.15516372197414,3.30310240637184,2.85651032133151,2.58157762245846,2.34125307144021,2.13999598995047,2.258402145124,2.42508319276423,2.66685746425159,2.90012118224885,0.897802617807717,1.10146663242863,1.74946685045196,2.02379482660979,2.13893560483007
"D-glucose 6-phosphate","D-glucose 6-phosphate [cytoplasm]",0.000127953127615113,-0.174485816864564,1.05585281523452,1.63950070882611,2.45019697254319,2.76356455212649,2.44056668559747,3.07629042710358,3.38142032682114,3.03285001557032,3.75947310431647,2.15516372197414,3.30310240637184,2.85651032133151,2.58157762245846,2.34125307144021,2.13999598995047,2.258402145124,2.42508319276423,2.66685746425159,2.90012118224885,0.897802617807717,1.10146663242863,1.74946685045196,2.02379482660979,2.13893560483007
"dATP","dATP [cytoplasm]",6.08860066365288e-07,-0.073774758805288,0.393223677555059,0.610505233075982,1.0584606428775,1.32743961895371,0.203259250124783,0.657586131639639,0.929723811734846,0.741219108626092,1.91624526594115,0.874116251827191,1.69771399075246,1.52009267305778,1.66084274108581,1.71178758402812,0.673493116064631,0.808977286525048,0.921692455062064,1.07358589216986,1.21210000037602,0.0281441424181884,0.344374506720943,0.690567132946593,1.08051568065529,1.31640371593393
"dCTP","dCTP [cytoplasm]",7.27903132691527e-07,-0.0147062681219534,0.833553577573356,0.994533854462102,1.16150353936423,0.901887608130411,1.27900781976544,1.56447668397242,1.84302860840818,1.66268641466813,1.90849069307,0.941398699800047,1.40761102361237,1.82445999970511,2.21628045317065,2.03726249705155,2.47319033415743,2.15943664049658,1.74881032190849,1.44592892940019,1.04681985857426,-0.0126280675703046,-0.112937047258936,0.403009355238487,0.70066722165064,0.841991184995892
"dGDP","dGDP [cytoplasm]",NaN,-0.101985290752982,-0.248618125323795,-0.163135731485853,0.0523025386543587,0.292110177527977,2.0871096840613,2.11258672921638,2.13966603280415,1.75243896360421,2.24548185209676,1.16332763105435,1.93606239408285,1.43225152557365,1.22990308342933,1.36857946715679,1.48452721960548,1.67376913468521,1.9336121783751,2.0358884176596,2.04878828328828,0.95201349089495,0.97504545035632,1.26065641125303,1.342669786748,1.40673404990794
"dihydroxyacetone phosphate","dihydroxyacetone phosphate [cytoplasm]",0.000102920331538143,-0.105145735791219,0.956670912196841,1.55260459518497,2.7425090292779,3.1837766813962,-0.0879237691551327,0.436335325153386,0.744095045671192,1.05789521273577,2.23654862084789,1.83698034807871,2.34532436185883,2.41584456321902,2.91379243322739,2.88795686128844,2.10253416165101,2.60611219974031,2.7704940476326,3.00784178556046,3.30738992733785,1.17005599157894,1.45664550338231,1.91809210396278,2.33015322753442,2.50535227779686
"dTTP","dTTP [cytoplasm]",NaN,-0.0751698179743474,1.31337918806091,1.63592956079989,1.9092264625624,1.55699051073947,2.05315269483841,2.47014616982685,2.83180025691349,2.58540602463102,2.73346854209437,0.624363566465038,1.46952111703032,1.81791514180511,2.26072501681514,1.9621029560656,2.89831014500196,2.54439345426387,2.26623366824132,2.03297093196463,1.57341380824013,-0.296743921775992,-0.405285499952832,0.304275468111928,0.643560318905854,0.810931997063454
