"","geneID","popMean","popSD"
"1","ENSG00000186092.4",-3.56207615937341,1.34687007234265
"2","ENSG00000278566.1",-3.79132470893878,0.946301761437048
"3","ENSG00000273547.1",-5.47401969389271,2.19681677482649
"4","ENSG00000187634.11",3.04244317742519,1.14092037810661
"5","ENSG00000188976.10",5.86475704201256,0.274705838988438
"6","ENSG00000187961.13",3.77696422860351,0.69969270443942
"7","ENSG00000187583.10",-0.199042062040191,1.43457839701507
"8","ENSG00000187642.9",-1.30021897089372,1.27149938604861
"9","ENSG00000188290.10",4.23724512269267,0.984621372888829
"10","ENSG00000187608.8",4.73821996880241,1.07397780299777
"11","ENSG00000188157.14",4.68641260364477,1.14484122926319
"12","ENSG00000237330.2",-3.1045584780872,1.91158260049097
"13","ENSG00000131591.17",2.55436247932227,0.626391836999073
"14","ENSG00000162571.13",-2.12694604777413,1.68253438833663
"15","ENSG00000186891.13",-0.86507567153954,1.44341549786064
"16","ENSG00000186827.10",1.1056043956044,1.61008648241633
"17","ENSG00000078808.16",7.28043242693293,0.416162405228186
"18","ENSG00000176022.4",3.94794568483483,0.496814501450066
"19","ENSG00000184163.3",0.612008361728346,0.990607561455161
"20","ENSG00000160087.20",4.65024850713853,0.304793493576018
"21","ENSG00000162572.20",3.00287591932942,0.996182647860579
"22","ENSG00000131584.18",5.57050714700128,0.57310675959847
"23","ENSG00000169972.11",3.83715627367543,0.427106944020318
"24","ENSG00000127054.20",5.8211621873064,0.384157567454977
"25","ENSG00000224051.6",4.67280394879651,0.504568149316675
"26","ENSG00000169962.4",0.0674497100298642,0.938958830712349
"27","ENSG00000107404.19",6.07197406294893,0.437676821351462
"28","ENSG00000162576.16",6.30297101413733,1.32002951300533
"29","ENSG00000175756.13",6.42207731508773,0.48299069051274
"30","ENSG00000221978.11",6.91318226555366,0.582618946767089
"31","ENSG00000242485.5",6.1169222787809,0.389657045777402
"32","ENSG00000235098.8",2.35214316403783,1.36470800258049
"33","ENSG00000205116.3",-1.99478411499881,2.41025918593143
"34","ENSG00000179403.11",4.34182059913229,1.19906054259174
"35","ENSG00000215915.9",0.352419395081593,1.35352565213256
"36","ENSG00000160072.19",4.09707103188355,0.547590946634804
"37","ENSG00000197785.13",4.05021978021978,0.602692635789684
"38","ENSG00000205090.8",2.02186813186813,1.30668771090096
"39","ENSG00000160075.11",5.45483513061317,0.293682888610273
"40","ENSG00000228594.3",1.30012674273843,1.67791182861359
"41","ENSG00000197530.12",5.23139045727896,0.544298221783884
"42","ENSG00000189409.13",-0.387300473708307,1.57521782056554
"43","ENSG00000248333.8",4.89835164835164,0.388699617734509
"44","ENSG00000189339.11",4.97955779381418,0.592008012036979
"45","ENSG00000008128.22",4.14496304977877,0.410758646382578
"46","ENSG00000215790.6",2.44289728293491,0.697386719072307
"47","ENSG00000008130.15",5.09363484336974,0.572916825596717
"48","ENSG00000078369.17",7.42789637709479,0.374637738235427
"49","ENSG00000169885.9",0.247028405429601,1.40128391715268
"50","ENSG00000178821.12",0.101126418046564,1.41633497721471
"51","ENSG00000142609.17",-4.87933802237619,1.99629087344605
"52","ENSG00000187730.8",-1.19662964231556,1.5642712360269
"53","ENSG00000067606.16",2.45657482734896,1.70935996329602
"54","ENSG00000162585.16",3.31489010989011,0.51541484306492
"55","ENSG00000157933.9",5.6358023584673,0.686459617739507
"56","ENSG00000116151.13",0.616069510978299,0.697518979469448
"57","ENSG00000157916.19",5.71803575820872,0.282079208364731
"58","ENSG00000157911.9",3.70327717837042,0.435995291629355
"59","ENSG00000149527.17",1.62076923076923,3.03395717036031
"60","ENSG00000157881.13",4.08296497266212,0.412906791394345
"61","ENSG00000197921.5",-1.5270382661096,2.40210188374011
"62","ENSG00000157873.17",6.02925948016094,0.893756191913894
"63","ENSG00000157870.14",4.01903666859076,0.784493787142386
"64","ENSG00000142606.15",-1.28688131446679,1.64903774444284
"65","ENSG00000215912.12",-1.38704395706605,1.38745743464933
"66","ENSG00000169717.6",-5.91624123166104,2.43654546104813
"67","ENSG00000142611.16",0.0242668266816402,1.84689048649225
"68","ENSG00000130762.14",1.77181318681319,2.16420340603263
"69","ENSG00000162591.15",3.6150565555333,1.46583694956776
"70","ENSG00000158109.14",6.24356453819851,0.420208644601899
"71","ENSG00000116213.15",4.55630304294601,0.349831215507064
"72","ENSG00000078900.14",-2.63591224748519,1.72372376885598
"73","ENSG00000162592.9",-5.00875301993387,2.18615090258887
